Organization Code,Orgnazation Name,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latino,White,Native Hawaiian or Other Pacific Islander,Two or More Races,Percent Minority,Year,% FREE AND REDUCED,K-12 COUNT,All Students Graduation Rate,All Students Completion Rate,Female Graduation Rate,Male Graduation Rate,Female Completion Rate,Male Completion Rate,Pupil/Teacher Ratio,T_Ind_F,T_Ind_M,T_Ind_T,T_As_F,T_As_M,T_As_T,T_Bl_F,T_Bl_M,T_Bl_T,T_Hi_F,T_Hi_M,T_Hi_T,T_Pac_F,T_Pac_M,T_Pac_T,T_Two_F,T_Two_M,T_Two_T,T_Whi_F,T_Whi_M,T_Whi_T,T_Total_Count,Total FTE,Average Salary,ap_American Indian or Alaska Native Count,ap_Asian Count,ap_Black or African American Count,ap_Hispanic or Latino Count,ap_White Count,ap_Native Hawaiian or Other Pacific Islander Count,ap_Two Or More Races Count,ap_Male Count,ap_Female Count,ap_Total Student Count
1600,HOEHNE REORGANIZED 3,0,3,1,183,164,0,3,0.01,16,0.384,354,0.944,1,1,0.9,1,1,21.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,20,20,16.25,53186,0,0,0,0,0,0,0,0,0,0
1620,AGUILAR REORGANIZED 6,0,0,0,77,47,0,0,0.01,16,0.757,111,0.857,1,1,0.75,1,1,16.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,11,11,7.55,55100,0,0,0,0,0,0,0,0,0,0
1750,BRANSON REORGANIZED 82,2,3,18,103,330,0,15,0.01,16,0.168,470,0.808,0.808,0.813,0.8,0.813,0.8,14.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,29,29,28.2,38642,0,0,0,0,0,0,0,0,0,0
1760,KIM REORGANIZED 88,0,0,3,1,49,0,1,0.01,16,0.542,48,1,1,1,1,1,1,6.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,10,10,8.52,30497,0,0,0,0,0,0,0,0,0,0
1780,GENOA-HUGO C113,2,0,3,11,171,0,0,0.01,16,0.317,164,1,1,1,1,1,1,10.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,18,18,18.25,37477,0,0,0,0,0,0,0,0,0,0
1790,LIMON RE-4J,2,4,6,70,377,7,13,0.01,16,0.445,479,0.889,0.889,0.905,0.875,0.905,0.875,14.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7,35,35,33.95,35809,0,0,0,0,0,0,0,0,0,0
1810,KARVAL RE-23,0,0,0,0,47,0,0,0.01,16,0.585,41,0.556,0.556,0.75,0.4,0.75,0.4,7.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,8,8,6.52,37702,0,0,0,0,0,0,0,0,0,0
1828,VALLEY RE-1,14,15,23,575,1597,0,60,0.01,16,0.499,2104,0.818,0.83,0.854,0.779,0.878,0.779,74.98285714,0,0,0,1,1,2,0,0,0,4,2,6,0,0,0,0,2,2,111,22,133,143,139.5,38296,0,0,0,0,0,0,0,0,0,0
1850,FRENCHMAN RE-3,2,1,0,18,180,0,2,0.01,16,0.41,178,0.941,0.941,1,0.917,1,0.917,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,20,20,19.56,40386,0,0,0,0,0,0,0,0,0,0
1860,BUFFALO RE-4J,3,1,6,27,263,2,4,0.01,16,0.35,306,1,1,1,1,1,1,13.585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,23,23,22.59,44356,0,0,0,0,0,0,0,0,0,0
1870,PLATEAU RE-5,0,0,1,6,152,0,1,0.01,16,0.35,143,0.833,0.833,0.8,0.846,0.8,0.846,9.245,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,13,3,16,17,17.35,38682,0,0,0,0,0,0,0,0,0,0
1980,DE BEQUE 49JT,0,2,2,15,171,0,0,0.01,16,0.456,171,0.7,0.7,1,0.571,1,0.571,10.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,18,18,17.39,44012,0,0,0,0,0,0,0,0,0,0
1990,PLATEAU VALLEY 50,9,5,17,73,328,3,2,0.01,16,0.278,424,0.255,0.388,0.419,0.179,0.548,0.313,17.75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,27,28,28.23,42692,0,0,0,4,13,0,0,12,5,17
2000,MESA COUNTY VALLEY 51,150,176,122,5238,15537,25,857,0.01,16,0.511,21373,0.804,0.81,0.841,0.77,0.846,0.778,17.366,2,1,3,5,3,8,5,3,8,61,28,89,1,0,1,5,0,5,895,324,"1,219","1,333",1284.54,47919,0,0,0,0,0,0,0,0,0,0
2010,CREEDE SCHOOL DISTRICT,0,0,0,6,73,0,2,0.01,16,0.63,81,1,1,0,1,0,1,7.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11,11,11,42865,0,0,0,0,0,0,0,0,0,0
2020,MOFFAT COUNTY RE:NO 1,24,8,19,518,1593,1,56,0.01,16,0.428,2064,0.886,0.886,0.951,0.831,0.951,0.831,21.2375,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,93,34,127,131,130.03,46327,3,4,4,47,273,0,6,186,151,337
2035,MONTEZUMA-CORTEZ RE-1,741,12,9,562,1397,6,95,0.01,16,0.677,2727,0.732,0.732,0.872,0.642,0.872,0.642,15.44363636,6,0,6,0,0,0,0,0,0,6,1,7,0,0,0,0,0,0,127,35,162,175,169,37923,3,0,0,16,76,0,15,54,56,110
2055,DOLORES RE-4A,33,0,1,119,557,2,21,0.01,16,0.363,669,0.891,0.891,1,0.75,1,0.75,9.105,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,37,14,51,54,52.38,40010,0,0,0,8,32,0,0,12,28,40
2070,MANCOS RE-6,44,1,1,81,360,1,13,0.01,16,0.559,458,0.923,0.962,1,0.867,1,0.933,15.63,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,25,8,33,34,32.55,37617,0,0,0,0,0,0,0,0,0,0
2180,MONTROSE COUNTY RE-1J,30,47,32,2401,3595,3,144,0.01,16,0.468,5966,0.779,0.792,0.863,0.714,0.868,0.733,19.576,2,1,3,4,1,5,0,0,0,1,0,1,0,0,0,0,0,0,244,99,343,352,344.5,46275,1,16,2,110,375,0,19,202,321,523
2190,WEST END RE-2,7,1,3,22,263,0,3,0.01,16,0.632,261,0.8,0.8,1,0.667,1,0.667,13.55,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,18,4,22,23,20.61,39517,0,0,0,0,1,0,0,0,1,1
2395,BRUSH RE-2(J),2,5,6,727,784,1,18,0.01,16,0.61,1472,0.85,0.86,0.852,0.848,0.869,0.848,16.1425,0,0,0,0,0,0,1,0,1,7,4,11,0,0,0,0,0,0,69,14,83,95,94.14,38213,0,0,0,8,18,0,1,12,15,27
2405,FORT MORGAN RE-3,16,15,145,1977,1015,1,44,0.01,16,0.693,3022,0.771,0.802,0.826,0.72,0.835,0.771,15.6725,0,1,1,0,0,0,0,0,0,10,1,11,1,0,1,0,0,0,136,50,186,199,196.4,40573,0,0,1,23,31,0,0,29,26,55
2505,WELDON VALLEY RE-20(J),0,1,0,37,192,0,0,0.01,16,0.413,208,0.905,0.905,0.917,0.889,0.917,0.889,12.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11,6,17,18,18,35372,0,0,0,0,0,0,0,0,0,0
2515,WIGGINS RE-50(J),8,8,2,138,400,0,17,0.01,16,0.47,530,0.889,0.917,0.933,0.857,0.933,0.905,16.77333333,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,21,11,32,34,34.25,40788,0,0,0,0,0,0,0,0,0,0
2520,EAST OTERO R-1,9,5,12,894,406,9,20,0.01,16,0.756,1355,0.88,0.92,0.905,0.848,0.929,0.909,16.36333333,0,0,0,0,0,0,0,1,1,10,2,12,0,0,0,0,1,1,48,19,67,81,80.44,37446,0,0,0,9,4,0,0,3,10,13
2530,ROCKY FORD R-2,6,2,1,617,208,0,3,0.01,16,0.779,805,0.816,0.816,0.864,0.778,0.864,0.778,14.08333333,0,0,0,0,0,0,1,0,1,12,4,16,0,0,0,1,1,2,27,13,40,59,59.25,36408,0,0,0,6,2,0,0,3,5,8
2535,MANZANOLA 3J,0,0,1,77,49,0,2,0.01,16,0.701,127,0.846,0.846,1,0.667,1,0.667,7.825,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,13,2,15,16,16.46,32321,0,0,0,0,0,0,0,0,0,0
2540,FOWLER R-4J,0,1,0,96,294,0,5,0.01,16,0.54,396,0.885,0.962,0.889,0.882,1,0.941,11.87666667,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,1,0,1,19,11,30,35,33.95,37784,0,0,0,0,0,0,0,0,0,0
2560,CHERAW 31,0,1,1,60,151,3,0,0.01,16,0.629,202,1,1,1,1,1,1,12.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,18,18,17.63,38597,0,0,0,0,0,0,0,0,0,0
2570,SWINK 33,1,11,10,92,247,0,5,0.01,16,0.429,366,1,1,1,1,1,1,13.655,1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,21,4,25,28,26.74,38090,0,0,0,0,0,0,0,0,0,0
2580,OURAY R-1,1,3,1,19,162,0,3,0.01,16,0.312,173,0.929,0.929,0.8,1,0.8,1,7.366666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,27,27,24.76,47467,0,0,0,0,6,0,0,2,4,6
2590,RIDGWAY R-2,2,2,0,33,283,0,14,0.01,16,0.303,304,1,1,1,1,1,1,11.34333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,31,31,28.94,43070,0,1,0,2,50,0,2,21,34,55
2600,PLATTE CANYON 1,15,10,2,116,801,0,45,0.01,16,0.304,907,0.824,0.824,0.846,0.813,0.846,0.813,15.71666667,1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,50,11,61,64,62.07,44018,0,4,0,3,46,0,0,25,28,53
2610,PARK COUNTY RE-2,2,2,7,87,552,0,34,0.01,16,0.494,607,0.654,0.654,0.636,0.667,0.636,0.667,14.85,1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,36,7,43,46,46.3,39893,0,0,0,0,0,0,0,0,0,0
2620,HOLYOKE RE-1J,0,3,3,266,307,0,2,0.01,16,0.425,581,0.872,0.897,0.765,0.955,0.824,0.955,12.60333333,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,2,0,2,32,10,42,47,47.05,38724,0,1,0,4,10,0,0,8,7,15
2630,HAXTUN RE-2J,0,0,2,24,293,2,8,0.01,16,0.355,290,0.913,0.913,1,0.8,1,0.8,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,25,25,24.6,39904,0,0,0,0,0,0,0,0,0,0
2640,ASPEN 1,1,26,15,198,1443,3,12,0.01,16,0.048,1670,0.926,0.933,0.961,0.895,0.961,0.907,13.314,0,0,0,0,0,0,1,0,1,2,1,3,0,0,0,0,0,0,102,37,139,143,138.86,58287,0,1,0,2,32,0,0,19,16,35
2650,GRANADA RE-1,0,0,0,163,51,0,3,0.01,16,0.65,197,0.75,0.75,0.667,0.833,0.667,0.833,12.02,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,13,3,16,20,18.07,39764,0,0,0,0,0,0,0,0,0,0
2660,LAMAR RE-2,11,2,6,881,659,0,18,0.01,16,0.665,1446,0.76,0.76,0.822,0.706,0.822,0.706,17.45166667,0,0,0,0,0,0,0,0,0,10,3,13,0,0,0,0,1,1,73,21,94,108,105.51,40687,0,0,0,1,5,0,0,1,5,6
2670,HOLLY RE-3,2,1,0,165,136,0,4,0.01,16,0.702,285,0.95,0.95,1,0.909,1,0.909,13.73666667,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,16,4,20,22,22.25,36385,0,0,0,0,0,0,0,0,0,0
2680,WILEY RE-13 JT,1,2,0,62,197,0,6,0.01,16,0.445,247,0.818,0.818,0.818,0.818,0.818,0.818,12.125,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,18,3,21,23,22.24,35839,0,0,0,8,53,0,7,20,48,68
2690,PUEBLO CITY 60,93,113,335,12128,4362,19,249,0.01,16,0.773,16482,0.739,0.747,0.805,0.68,0.813,0.688,17.63969697,5,2,7,7,2,9,7,5,12,207,70,277,0,0,0,4,3,7,507,179,686,998,1010.49,47260,2,25,8,373,388,2,11,344,465,809
2700,PUEBLO COUNTY 70,34,72,49,3486,5571,4,432,0.01,16,0.422,9353,0.855,0.863,0.905,0.809,0.908,0.821,19.6925,0,2,2,1,1,2,2,1,3,56,16,72,0,1,1,0,0,0,322,93,415,495,484.95,47696,1,12,1,226,469,0,33,351,391,742
2710,MEEKER RE1,15,1,2,104,619,2,2,0.01,16,0.349,694,0.902,0.902,0.882,0.917,0.882,0.917,17.17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,31,10,41,42,40.19,49066,0,0,0,1,5,0,0,1,5,6
2720,RANGELY RE-4,4,0,1,41,485,0,5,0.01,16,0.315,496,0.833,0.833,0.889,0.8,0.889,0.8,14.915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,13,35,35,33.71,43895,0,0,0,0,0,0,0,0,0,0
2730,DEL NORTE C-7,2,2,0,242,188,0,6,0.01,16,0.536,440,0.839,0.839,0.846,0.833,0.846,0.833,12.43666667,0,0,0,0,0,0,0,0,0,7,7,14,0,0,0,0,0,0,13,8,21,35,35.09,37460,0,0,0,0,0,0,0,0,0,0
2740,MONTE VISTA C-8,20,1,3,824,308,1,16,0.01,16,0.695,1116,0.766,0.809,0.775,0.759,0.8,0.815,18.73833333,0,0,0,1,0,1,0,0,0,13,8,21,0,0,0,0,0,0,42,12,54,76,74.97,40566,1,0,0,27,17,0,0,18,27,45
2750,SARGENT RE-33J,6,4,2,98,261,0,5,0.01,16,0.359,376,1,1,1,1,1,1,15.25666667,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,15,10,25,28,25.15,40714,0,1,0,2,3,0,0,4,2,6
2760,HAYDEN RE-1,0,3,4,49,358,2,0,0.01,16,0.439,380,0.9,0.9,1,0.833,1,0.833,12.28666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,9,36,36,34.83,52753,0,0,0,0,0,0,0,0,0,0
2770,STEAMBOAT SPRINGS RE-2,3,36,19,347,2116,9,50,0.01,16,0.158,2526,0.904,0.916,0.865,0.944,0.888,0.944,16.17428571,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,131,37,168,169,164.67,53803,0,10,1,26,410,0,7,202,252,454
2780,SOUTH ROUTT RE 3,0,1,2,19,325,1,5,0.01,16,0.401,327,0.821,0.821,0.857,0.786,0.857,0.786,8.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7,31,31,30.22,40629,0,0,0,0,4,0,0,2,2,4
2790,MOUNTAIN VALLEY RE 1,0,0,0,31,99,0,2,0.01,16,0.828,122,0.909,0.909,0.857,1,0.857,1,8.7,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,10,2,12,15,15.13,32776,0,0,0,0,0,0,0,0,0,0
2800,MOFFAT 2,2,3,3,18,155,0,20,0.01,16,0.796,191,1,1,1,1,1,1,10.235,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,13,6,19,22,20.46,36576,0,0,0,0,0,0,0,0,0,0
2810,CENTER 26 JT,13,0,2,560,60,0,0,0.01,16,0.946,596,0.735,0.735,0.724,0.75,0.724,0.75,16.986,0,0,0,1,0,1,0,1,1,10,5,15,0,0,0,0,0,0,20,10,30,47,45.46,37024,0,0,0,0,0,0,0,0,0,0
2820,SILVERTON 1,0,0,0,27,53,0,0,0.01,16,0.603,73,0.6,0.6,0.333,1,0.333,1,7.256666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11,11,10.91,45589,0,0,0,0,0,0,0,0,0,0
2830,TELLURIDE R-1,3,4,5,152,711,2,23,0.01,16,0.232,900,0.934,0.984,0.92,0.944,1,0.972,11.655,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,0,0,0,58,18,76,81,76.6,56703,1,0,0,23,222,0,0,129,117,246
2840,NORWOOD R-2J,3,3,0,22,213,0,2,0.01,16,0.498,223,0.909,0.909,0.917,0.9,0.917,0.9,11.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,23,23,20.5,43609,0,0,0,0,0,0,0,0,0,0
2862,JULESBURG RE-1,7,5,13,174,408,1,25,0.01,16,0.55,589,0.483,0.508,0.467,0.5,0.483,0.533,17.00666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,5,38,38,36.01,42056,0,0,0,2,15,0,1,1,17,18
3000,SUMMIT RE-1,5,24,34,1222,2142,2,128,0.01,16,0.324,3398,0.901,0.906,0.931,0.876,0.943,0.876,13.99111111,2,0,2,1,0,1,0,1,1,11,3,14,0,0,0,0,0,0,205,49,254,272,248.92,55040,0,2,1,16,117,0,7,56,87,143
3010,CRIPPLE CREEK-VICTOR RE-1,5,2,4,33,321,1,8,0.01,16,0.701,344,0.625,0.667,0.889,0.467,0.889,0.533,13.005,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,21,9,30,31,29.91,38595,0,0,2,5,22,0,0,6,23,29
3020,WOODLAND PARK RE-2,13,24,22,236,2073,3,109,0.01,16,0.31,2372,0.801,0.831,0.845,0.76,0.866,0.798,17.672,0,0,0,0,0,0,1,1,2,0,1,1,0,0,0,0,0,0,108,31,139,142,139.98,45295,0,1,0,13,128,0,4,63,83,146
3030,AKRON R-1,2,5,1,68,291,0,11,0.01,16,0.503,362,0.789,0.842,0.75,0.818,0.75,0.909,12.845,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,22,6,28,29,28.42,38851,0,0,0,0,0,0,0,0,0,0
3040,ARICKAREE R-2,0,0,1,30,66,0,0,0.01,16,0.451,91,1,1,1,1,1,1,7.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,5,14,15,13.1,34697,0,0,0,0,0,0,0,0,0,0
3050,OTIS R-3,1,1,6,13,216,0,5,0.01,16,0.496,226,1,1,1,1,1,1,12.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,22,22,19.26,34822,0,0,0,0,1,0,0,1,0,1
3060,LONE STAR 101,0,1,0,18,95,1,0,0.01,16,0.487,115,1,1,1,1,1,1,8.463333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,17,17,14.74,35140,0,0,0,0,0,0,0,0,0,0
3070,WOODLIN R-104,0,0,3,15,95,0,0,0.01,16,0.49,98,1,1,1,1,1,1,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,13,13,12.11,26649,0,0,0,0,0,0,0,0,0,0
3080,WELD COUNTY RE-1,17,5,11,1101,845,0,25,0.01,16,0.545,1879,0.805,0.805,0.882,0.746,0.882,0.746,15.53,0,0,0,0,0,0,1,0,1,15,4,19,0,0,0,0,0,0,92,24,116,136,133.62,45615,0,0,0,42,48,0,3,25,68,93
3085,EATON RE-2,3,9,8,463,1364,0,31,0.01,16,0.327,1878,0.928,0.928,0.944,0.915,0.944,0.915,15.836,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,1,0,1,91,24,115,120,116.31,45515,0,0,0,0,0,0,0,0,0,0
3100,WINDSOR RE-4,22,69,33,875,4880,0,155,0.01,16,0.163,5881,0.906,0.92,0.946,0.864,0.959,0.879,17.662,0,0,0,4,1,5,0,0,0,7,1,8,0,0,0,1,2,3,263,65,328,344,334.91,48273,6,8,0,38,329,0,5,139,247,386
3110,JOHNSTOWN-MILLIKEN RE-5J,7,32,23,1123,2576,3,66,0.01,16,0.285,3697,0.862,0.882,0.904,0.822,0.904,0.861,20.15833333,0,0,0,0,0,0,0,0,0,8,4,12,0,0,0,0,0,0,133,46,179,191,189.77,52097,0,0,0,0,0,0,0,0,0,0
3120,GREELEY 6,73,533,503,13125,7354,53,309,0.01,16,0.654,21938,0.771,0.784,0.808,0.734,0.819,0.749,20.85258065,6,0,6,6,3,9,1,6,7,114,24,138,1,0,1,0,0,0,837,244,"1,081","1,242",1213.72,49386,7,35,26,904,797,4,33,792,1014,1806
3130,PLATTE VALLEY RE-7,3,3,3,388,702,0,9,0.01,16,0.375,1108,0.963,0.963,0.974,0.952,0.974,0.952,13.65333333,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,64,15,79,81,80.5,48191,0,0,0,0,0,0,0,0,0,0
3140,WELD COUNTY S/D RE-8,13,14,12,1737,588,3,21,0.01,16,0.603,2209,0.741,0.756,0.823,0.671,0.839,0.685,17.582,0,1,1,2,1,3,1,1,2,19,7,26,0,0,0,0,0,0,84,28,112,144,139.47,47093,2,0,0,185,36,2,1,73,153,226
3145,AULT-HIGHLAND RE-9,4,1,0,268,571,0,9,0.01,16,0.47,853,0.961,0.974,1,0.929,1,0.952,14.29333333,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,0,0,0,41,13,54,62,59.16,40146,0,0,0,2,21,0,1,8,16,24
3146,BRIGGSDALE RE-10,0,5,0,20,154,0,2,0.01,16,0.323,167,0.933,0.933,1,0.889,1,0.889,9.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,19,19,18.92,38415,0,0,0,0,0,0,0,0,0,0
3147,PRAIRIE RE-11,0,0,0,9,205,0,3,0.01,16,0.296,203,0.917,1,0.889,1,1,1,11.865,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,15,4,19,20,18.29,41549,0,0,0,0,0,0,0,0,0,0
3148,PAWNEE RE-12,0,0,0,8,68,0,1,0.01,16,0.419,74,1,1,1,1,1,1,5.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,14,14,13.62,38348,0,0,0,0,0,0,0,0,0,0
3200,YUMA 1,0,1,5,436,362,0,3,0.01,16,0.618,759,0.891,0.909,0.967,0.8,1,0.8,20.8375,0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,49,14,63,66,65.21,42629,0,0,0,0,0,0,0,0,0,0
3210,WRAY RD-2,2,2,2,193,470,0,6,0.01,16,0.573,628,0.863,0.863,0.862,0.864,0.862,0.864,13.35333333,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,35,14,49,50,49.28,37037,0,0,0,0,0,0,0,0,0,0
3220,IDALIA RJ-3,5,0,0,52,167,0,2,0.01,16,0.568,206,0.889,1,0.833,1,1,1,13.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,18,18,16.4,40156,0,0,0,0,0,0,0,0,0,0
3230,LIBERTY J-4,0,0,0,11,68,0,1,0.01,16,0.308,65,0.889,0.889,1,0.667,1,0.667,8.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,10,10,9.25,36845,0,0,0,0,0,0,0,0,0,0
8001,CHARTER SCHOOL INSTITUTE,81,543,662,6845,7785,42,469,0.01,16,0.44,16201,0.498,0.513,0.53,0.466,0.54,0.485,18.62975,1,1,2,32,6,38,13,3,16,68,20,88,0,1,1,7,2,9,587,199,786,940,873.12,41051,0,22,0,54,33,0,0,52,57,109
9000,COLORADO SCHOOL FOR THE DEAF AND BLIND,1,11,15,84,78,1,13,0.01,16,0.634,194,0.19,0.19,0.222,0.167,0.222,0.167,5.59,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,27,8,35,37,36.31,51534,0,0,0,0,0,0,0,0,0,0
10,MAPLETON 1,61,155,163,5347,2729,18,265,0.688,15,0.627,8297,0.571,0.603,0.612,0.524,0.638,0.564,19.794,2,0,2,4,2,6,2,1,3,37,6,43,4,0,4,0,0,0,291,78,369,427,422.95,49527.57,0,0,0,0,0,0,0,0,0,0
20,ADAMS 12 FIVE STAR SCHOOLS,258,2028,795,15197,19985,48,976,0.491,15,0.393,38205,0.777,0.786,0.824,0.734,0.828,0.748,19.68826923,3,1,4,29,6,35,7,1,8,131,40,171,1,0,1,17,6,23,"1,469",409,"1,878","2,120",2063.74,57561.38,6,244,32,392,1190,11,26,857,1044,1901
30,ADAMS COUNTY 14,51,21,200,6280,938,6,81,0.876,15,0.854,7003,0.642,0.65,0.747,0.554,0.751,0.566,20.43846154,3,0,3,6,1,7,8,2,10,45,22,67,1,0,1,0,0,0,232,74,306,394,387.86,52461.61,1,0,4,254,42,0,4,108,197,305
50,BENNETT 29J,8,2,9,224,822,0,35,0.253,15,0.303,1036,0.773,0.788,0.88,0.707,0.88,0.732,19.31333333,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,1,0,1,41,10,51,55,54.89,38883.72,0,0,0,0,0,0,0,0,0,0
60,STRASBURG 31J,7,9,6,140,852,3,19,0.178,15,0.227,960,0.87,0.87,0.878,0.863,0.878,0.863,16.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,12,58,58,54.15,42701.05,0,6,3,40,391,0,4,205,239,444
70,WESTMINSTER 50,40,418,117,7290,1465,11,163,0.846,15,0.832,8977,0.594,0.607,0.689,0.501,0.704,0.513,19.57368421,0,0,0,7,3,10,2,3,5,58,19,77,0,0,0,4,1,5,300,101,401,498,493.1,59040.02,0,0,0,0,0,0,0,0,0,0
100,ALAMOSA RE-11J,31,23,21,1435,688,6,33,0.692,15,0.646,2237,0.746,0.754,0.8,0.701,0.818,0.701,22.54,0,0,0,0,0,0,0,0,0,31,14,45,0,0,0,1,1,2,59,20,79,126,124.81,47571.9,0,8,0,62,67,0,0,43,94,137
110,SANGRE DE CRISTO RE-22J,9,1,7,82,203,1,4,0.339,15,0.56,291,0.957,0.957,0.917,1,0.917,1,11.72,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,18,4,22,26,26.49,36887.92,0,0,0,3,7,0,0,7,3,10
120,ENGLEWOOD 1,24,23,66,1159,1436,5,141,0.497,15,0.584,2640,0.469,0.495,0.538,0.406,0.553,0.441,19.78555556,0,0,0,0,0,0,0,0,0,4,2,6,0,0,0,0,0,0,146,39,185,191,180.74,52439.25,0,2,1,31,48,0,4,37,49,86
123,SHERIDAN 2,11,28,59,1197,207,4,32,0.865,15,0.901,1377,0.759,0.759,0.864,0.688,0.864,0.688,18.51,0,0,0,0,1,1,2,0,2,9,1,10,0,0,0,0,0,0,76,12,88,101,95.25,50503.29,0,0,0,0,0,0,0,0,0,0
130,CHERRY CREEK 5,309,4661,6162,10334,29701,133,3395,0.457,15,0.296,52919,0.872,0.883,0.902,0.843,0.91,0.859,20.22921875,7,0,7,37,9,46,55,25,80,134,47,181,1,0,1,49,18,67,"2,090",692,"2,782","3,164",3043.82,67939.69,36,1643,898,1359,5986,35,513,4659,5811,10470
140,LITTLETON 6,71,504,190,2740,11597,15,663,0.265,15,0.18,15096,0.875,0.897,0.913,0.833,0.927,0.864,24.44652174,1,0,1,8,1,9,2,2,4,31,5,36,0,0,0,4,1,5,631,196,827,882,843.48,64738.93,4,118,5,204,1928,1,125,1152,1233,2385
