Organization Code,Orgnazation Name,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latino,White,Native Hawaiian or Other Pacific Islander,Two or More Races,Percent Minority,Year,% FREE AND REDUCED,K-12 COUNT,All Students Graduation Rate,All Students Completion Rate,Female Graduation Rate,Male Graduation Rate,Female Completion Rate,Male Completion Rate,Pupil/Teacher Ratio,T_Ind_F,T_Ind_M,T_Ind_T,T_As_F,T_As_M,T_As_T,T_Bl_F,T_Bl_M,T_Bl_T,T_Hi_F,T_Hi_M,T_Hi_T,T_Pac_F,T_Pac_M,T_Pac_T,T_Two_F,T_Two_M,T_Two_T,T_Whi_F,T_Whi_M,T_Whi_T,T_Total_Count,Total FTE,Average Salary,ap_American Indian or Alaska Native Count,ap_Asian Count,ap_Black or African American Count,ap_Hispanic or Latino Count,ap_White Count,ap_Native Hawaiian or Other Pacific Islander Count,ap_Two Or More Races Count,ap_Male Count,ap_Female Count,ap_Total Student Count
290,LAS ANIMAS RE-1,6,7,23,587,539,0,13,0.01,16,0.825,1147,0.767,0.767,0.867,0.667,0.867,0.667,35.91333333,1,0,1,0,0,0,0,1,1,3,5,8,0,0,0,0,0,0,25,6,31,41,40.04,36727,0,0,0,0,0,0,0,0,0,0
310,MC CLAVE RE-2,0,0,0,0,266,0,6,0.01,16,0.413,242,0.913,0.913,1,0.8,1,0.8,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,22,23,20.73,36825,0,0,0,0,0,0,0,0,0,0
470,ST VRAIN VALLEY RE 1J,137,1006,273,9540,20452,63,700,0.01,16,0.314,30761,0.848,0.857,0.881,0.815,0.889,0.827,19.25423077,6,0,6,11,4,15,2,6,8,82,19,101,1,0,1,1,0,1,"1,280",400,"1,680","1,812",1774.78,53539,0,0,0,0,0,0,0,0,0,0
480,BOULDER VALLEY RE 2,111,1747,297,5794,21544,35,1661,0.01,16,0.206,30271,0.925,0.935,0.943,0.906,0.947,0.923,17.75333333,3,1,4,19,6,25,6,7,13,119,38,157,2,0,2,17,7,24,"1,178",417,"1,595","1,820",1696.82,72951,0,0,0,0,0,0,0,0,0,0
490,BUENA VISTA R-31,5,9,8,122,829,2,23,0.01,16,0.329,910,0.875,0.9,0.951,0.795,0.951,0.846,12.4125,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,52,23,75,77,74.68,42273,0,0,0,1,6,0,0,1,6,7
500,SALIDA R-32,6,8,7,173,991,0,44,0.01,16,0.351,1168,0.756,0.769,0.805,0.703,0.805,0.73,13.1,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,0,0,0,60,24,84,92,89.46,41189,1,2,0,15,136,0,0,64,90,154
510,KIT CARSON R-1,0,1,2,21,98,0,4,0.01,16,0.526,114,0.818,0.818,0.75,0.857,0.75,0.857,7.715,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,12,4,16,18,16.44,39590,0,0,0,0,1,0,0,0,1,1
520,CHEYENNE COUNTY RE-5,0,1,1,23,169,0,0,0.01,16,0.441,170,1,1,1,1,1,1,10.225,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,13,5,18,19,18.77,38891,0,0,0,0,0,0,0,0,0,0
540,CLEAR CREEK RE-1,15,9,3,86,707,2,36,0.01,16,0.271,785,0.778,0.796,0.84,0.724,0.84,0.759,13.946,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,46,13,59,63,62.38,40674,0,1,0,0,19,0,1,8,13,21
550,NORTH CONEJOS RE-1J,5,0,8,533,415,0,2,0.01,16,0.572,963,0.864,0.877,0.881,0.846,0.881,0.872,13.954,0,0,0,0,0,0,0,0,0,16,5,21,0,0,0,0,0,0,32,20,52,73,71.61,42267,1,0,0,1,4,0,0,3,3,6
560,SANFORD 6J,1,0,0,118,264,0,10,0.01,16,0.588,369,1,1,1,1,1,1,14.895,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2,2,15,8,23,27,26.25,41284,0,0,0,1,17,0,0,4,14,18
580,SOUTH CONEJOS RE-10,4,0,1,191,15,0,1,0.01,16,0.788,212,1,1,1,1,1,1,10.09666667,0,0,0,0,0,0,0,0,0,11,4,15,0,0,0,0,0,0,2,4,6,21,20.5,38814,0,0,0,0,0,0,0,0,0,0
640,CENTENNIAL R-1,0,0,0,203,12,0,0,0.01,16,0.779,199,0.929,0.929,1,0.833,1,0.833,12.11,0,0,0,0,0,0,0,0,0,6,4,10,0,0,0,0,0,0,5,3,8,18,17.75,38461,0,0,0,12,2,0,0,7,7,14
740,SIERRA GRANDE R-30,0,0,1,203,55,1,7,0.01,16,0.897,263,1,1,1,1,1,1,11.86,0,0,0,0,0,0,0,0,0,7,6,13,0,0,0,0,0,0,6,3,9,22,22.51,35771,0,0,0,0,0,0,0,0,0,0
770,CROWLEY COUNTY RE-1-J,5,0,8,236,186,0,2,0.01,16,0.73,437,0.947,0.974,0.895,1,0.947,1,14.06,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,21,8,29,31,31.44,35481,0,0,0,0,0,0,0,0,0,0
860,CUSTER COUNTY SCHOOL DISTRICT C-1,6,0,7,9,343,0,8,0.01,16,0.496,347,0.879,0.879,0.895,0.857,0.895,0.857,13.13333333,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,22,6,28,29,28.42,38178,0,0,0,0,8,0,0,4,4,8
870,DELTA COUNTY 50(J),36,59,29,1107,3663,5,112,0.01,16,0.565,4713,0.863,0.872,0.874,0.853,0.874,0.87,22.342,2,0,2,1,1,2,0,0,0,5,10,15,0,0,0,0,0,0,190,81,271,290,275.88,42162,6,17,1,77,608,0,13,333,389,722
880,DENVER COUNTY 1,585,2964,11989,50669,21249,252,3424,0.01,16,0.678,86139,0.672,0.691,0.723,0.62,0.737,0.644,15.23507389,12,4,16,69,22,91,166,86,252,740,256,996,2,3,5,120,46,166,"3,326","1,113","4,439","5,965",6011.34,50701,25,262,730,2919,2777,13,368,3069,4025,7094
890,DOLORES COUNTY RE NO.2,4,0,0,18,246,0,5,0.01,16,0.593,246,0.842,0.842,0.857,0.833,0.857,0.833,10.66333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,22,22,21.53,43193,0,0,0,0,0,0,0,0,0,0
900,DOUGLAS COUNTY RE 1,329,3138,873,9731,50129,85,3185,0.01,16,0.119,65628,0.901,0.913,0.929,0.875,0.941,0.886,20.28956044,0,0,0,40,3,43,10,4,14,4,3,7,0,4,4,1,2,3,"2,677",777,"3,454","3,525",3424.69,52044,34,685,70,837,6783,13,377,3754,5045,8799
910,EAGLE COUNTY RE 50,36,68,36,3565,3072,2,122,0.01,16,0.411,6628,0.794,0.801,0.855,0.731,0.863,0.735,16.02166667,1,0,1,4,1,5,0,0,0,33,5,38,1,0,1,2,0,2,335,93,428,475,451.04,48036,3,20,3,351,665,0,12,476,578,1054
920,ELIZABETH C-1,14,15,11,239,2182,1,73,0.01,16,0.178,2399,0.867,0.872,0.924,0.813,0.924,0.823,50.68625,0,1,1,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,121,30,151,155,146.97,39258,1,0,0,9,143,0,5,65,93,158
930,KIOWA C-2,0,1,5,38,229,1,3,0.01,16,0.393,257,1,1,1,1,1,1,13.69333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,21,21,20.4,35138,0,0,0,1,21,0,0,8,14,22
940,BIG SANDY 100J,5,0,0,24,265,1,11,0.01,16,0.4,280,0.905,0.905,1,0.867,1,0.867,11.89333333,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,18,10,28,29,25.22,41006,0,0,0,0,0,0,0,0,0,0
950,ELBERT 200,2,1,0,14,191,0,5,0.01,16,0.29,200,1,1,1,1,1,1,9.76,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,16,4,20,22,21.61,35356,0,0,0,0,0,0,0,0,0,0
970,CALHAN RJ-1,4,4,42,30,356,0,6,0.01,16,0.486,424,0.912,0.912,1,0.8,1,0.8,15.95666667,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,20,9,29,31,28.22,40291,0,0,2,9,59,0,1,27,44,71
980,HARRISON 2,109,232,1713,5831,2948,122,791,0.01,16,0.761,11746,0.797,0.802,0.863,0.73,0.867,0.734,16.755,4,2,6,10,6,16,30,7,37,22,7,29,4,2,6,10,8,18,490,148,638,750,746.62,42560,1,16,104,229,74,6,30,173,287,460
990,WIDEFIELD 3,65,120,889,2719,4748,137,956,0.01,16,0.47,9181,0.801,0.815,0.835,0.768,0.841,0.79,19.41875,7,2,9,4,2,6,13,4,17,0,0,0,2,1,3,19,2,21,372,106,478,534,528.37,44694,2,16,87,200,524,5,69,394,509,903
1000,FOUNTAIN 8,81,108,949,2264,3863,138,782,0.01,16,0.511,7826,0.879,0.898,0.899,0.862,0.92,0.879,17.18923077,2,2,4,10,2,12,13,8,21,30,13,43,1,0,1,0,0,0,326,90,416,497,495.31,48098,2,20,49,140,319,10,51,223,368,591
1010,COLORADO SPRINGS 11,196,438,2089,8514,14426,111,2137,0.01,16,0.601,27245,0.697,0.714,0.763,0.64,0.776,0.659,16.58107143,5,1,6,18,5,23,29,18,47,99,29,128,1,3,4,23,7,30,"1,091",362,"1,453","1,691",1655.58,48305,8,72,57,295,1116,1,120,761,908,1669
1020,CHEYENNE MOUNTAIN 12,19,204,138,810,3704,13,336,0.01,16,0.144,5077,0.934,0.94,0.93,0.938,0.936,0.943,15.51818182,3,0,3,2,0,2,0,1,1,8,6,14,0,0,0,2,0,2,250,82,332,354,353.02,44458,4,58,12,114,896,1,62,498,649,1147
1030,MANITOU SPRINGS 14,9,16,19,122,1250,2,70,0.01,16,0.248,1446,0.937,0.952,0.93,0.945,0.944,0.964,14.08,0,0,0,0,1,1,0,0,0,3,0,3,0,0,0,0,0,0,65,37,102,106,103.4,43985,0,0,0,0,0,0,0,0,0,0
1040,ACADEMY 20,106,1026,801,3426,18533,75,1624,0.01,16,0.135,25218,0.903,0.911,0.923,0.883,0.932,0.89,17.3075,4,0,4,16,0,16,8,4,12,71,19,90,1,0,1,22,3,25,"1,105",329,"1,434","1,582",1498.12,48066,16,190,82,329,2566,8,166,1518,1839,3357
1050,ELLICOTT 22,5,6,50,334,617,6,25,0.01,16,0.674,957,0.788,0.808,0.81,0.774,0.857,0.774,13.74,0,0,0,0,1,1,1,1,2,3,2,5,0,0,0,0,0,0,45,21,66,74,73.73,38782,0,0,0,0,0,0,0,0,0,0
1060,PEYTON 23 JT,2,8,19,79,513,1,30,0.01,16,0.214,632,0.75,0.75,0.955,0.667,0.955,0.667,12.134,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,34,13,47,48,47.68,37194,0,0,0,0,0,0,0,0,0,0
1070,HANOVER 28,4,0,6,77,175,0,8,0.01,16,0.743,249,0.824,0.824,1,0.75,1,0.75,14.13,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,11,5,16,18,18,39333,0,0,0,0,0,0,0,0,0,0
1080,LEWIS-PALMER 38,35,151,78,648,5372,5,288,0.01,16,0.088,6324,0.948,0.952,0.967,0.93,0.971,0.934,18.32888889,2,0,2,0,0,0,0,0,0,5,2,7,0,0,0,9,3,12,270,77,347,368,346.59,45956,11,56,10,151,1188,2,70,706,782,1488
1110,FALCON 49,142,453,1136,5371,12082,85,1565,0.01,16,0.311,20505,0.606,0.619,0.623,0.587,0.633,0.603,18.42,8,1,9,10,10,20,14,9,23,32,19,51,3,1,4,0,0,0,727,201,928,"1,035",1037.85,42567,1,18,12,57,199,0,13,105,195,300
1120,EDISON 54 JT,0,1,4,14,207,0,5,0.01,16,0.41,222,0.68,0.68,0.583,0.769,0.583,0.769,30.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,15,15,13.93,36579,0,0,0,0,0,0,0,0,0,0
1130,MIAMI/YODER 60 JT,1,0,1,75,213,0,10,0.01,16,0.513,275,0.786,0.786,0.875,0.667,0.875,0.667,14.19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,15,6,21,22,21.94,37716,0,0,0,0,0,0,0,0,0,0
1140,CANON CITY RE-1,24,24,14,526,2907,1,130,0.01,16,0.505,3626,0.785,0.801,0.817,0.752,0.824,0.776,16.84222222,0,0,0,0,0,0,0,0,0,2,5,7,0,0,0,0,0,0,164,60,224,231,228.23,46110,0,0,0,0,0,0,0,0,0,0
1150,FREMONT RE-2,4,7,6,230,1032,0,39,0.01,16,0.568,1318,0.761,0.789,0.8,0.722,0.829,0.75,15.575,0,0,0,0,0,0,0,0,0,5,1,6,0,0,0,0,0,0,59,25,84,90,90.94,40600,0,0,0,0,0,0,0,0,0,0
1160,COTOPAXI RE-3,1,3,0,15,178,0,3,0.01,16,0.513,187,0.625,0.75,0.5,1,0.667,1,10.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,20,20,19.68,38880,0,0,0,0,0,0,0,0,0,0
1180,ROARING FORK RE-1,18,53,21,3059,2342,4,92,0.01,16,0.424,5410,0.814,0.824,0.883,0.748,0.883,0.767,15.48,1,0,1,1,0,1,0,0,0,15,6,21,0,0,0,0,0,0,296,72,368,391,374.46,49967,8,9,1,277,500,0,15,372,438,810
1195,GARFIELD RE-2,13,24,16,2278,2457,2,108,0.01,16,0.519,4734,0.871,0.871,0.903,0.842,0.903,0.842,17.388,0,0,0,1,0,1,0,0,0,5,2,7,0,0,0,0,2,2,193,85,278,288,279.41,44013,0,2,0,63,160,0,5,106,124,230
1220,GARFIELD 16,19,2,8,400,703,2,46,0.01,16,0.555,1092,0.785,0.785,0.76,0.8,0.76,0.8,16.4775,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,51,22,73,74,74.34,46729,13,2,2,135,245,0,8,218,187,405
