Organization Code,Orgnazation Name,Student Pct Minority,Year,% FREE AND REDUCED,K-12 COUNT,All Students Graduation Rate,Female Graduation Rate,Male Graduation Rate,Pupil/Teacher Ratio,Teacher Pct Minority,Teacher Count,Total FTE,Average Salary,Female AP Enrollment,Male AP Enrollment,Total AP Enrollment
480,BOULDER VALLEY RE 2,0.01,16,0.20600000000000002,30271,0.925,0.943,0.9059999999999999,17.753333333333334,0.12362637362637363,1820,1696.82,72951.0,0,0,0
490,BUENA VISTA R-31,0.01,16,0.32899999999999996,910,0.875,0.951,0.795,12.4125,0.025974025974025983,77,74.68,42273.0,6,1,7
500,SALIDA R-32,0.01,16,0.35100000000000003,1168,0.7559999999999999,0.805,0.703,13.1,0.08695652173913049,92,89.46,41189.0,90,64,154
510,KIT CARSON R-1,0.01,16,0.526,114,0.818,0.75,0.857,7.715,0.11111111111111116,18,16.44,39590.0,1,0,1
520,CHEYENNE COUNTY RE-5,0.01,16,0.441,170,1.0,1.0,1.0,10.225,0.052631578947368474,19,18.77,38891.0,0,0,0
540,CLEAR CREEK RE-1,0.01,16,0.271,785,0.778,0.84,0.7240000000000001,13.946000000000002,0.06349206349206349,63,62.38,40674.0,13,8,21
550,NORTH CONEJOS RE-1J,0.01,16,0.5720000000000001,963,0.8640000000000001,0.8809999999999999,0.846,13.954000000000002,0.28767123287671237,73,71.61,42267.0,3,3,6
560,SANFORD 6J,0.01,16,0.588,369,1.0,1.0,1.0,14.895,0.14814814814814814,27,26.25,41284.0,14,4,18
580,SOUTH CONEJOS RE-10,0.01,16,0.7879999999999999,212,1.0,1.0,1.0,10.096666666666668,0.7142857142857143,21,20.5,38814.0,0,0,0
640,CENTENNIAL R-1,0.01,16,0.779,199,0.929,1.0,0.833,12.11,0.5555555555555556,18,17.75,38461.0,7,7,14
740,SIERRA GRANDE R-30,0.01,16,0.897,263,1.0,1.0,1.0,11.86,0.5909090909090908,22,22.51,35771.0,0,0,0
770,CROWLEY COUNTY RE-1-J,0.01,16,0.73,437,0.9470000000000001,0.895,1.0,14.06,0.06451612903225812,31,31.44,35481.0,0,0,0
860,CUSTER COUNTY SCHOOL DISTRICT C-1,0.01,16,0.496,347,0.879,0.895,0.857,13.133333333333333,0.03448275862068961,29,28.42,38178.0,4,4,8
870,DELTA COUNTY 50(J),0.01,16,0.565,4713,0.863,0.8740000000000001,0.853,22.342000000000002,0.06551724137931036,290,275.88,42162.0,389,333,722
880,DENVER COUNTY 1,0.01,16,0.6779999999999999,86139,0.672,0.723,0.62,15.235073891625618,0.25582564962279963,5965,6011.34,50701.0,4025,3069,7094
890,DOLORES COUNTY RE NO.2,0.01,16,0.593,246,0.8420000000000001,0.857,0.833,10.663333333333334,0.0,22,21.53,43193.0,0,0,0
