Organization Code,Orgnazation Name,Student Pct Minority,Year,% FREE AND REDUCED,K-12 COUNT,All Students Graduation Rate,Female Graduation Rate,Male Graduation Rate,Pupil/Teacher Ratio,Teacher Pct Minority,Teacher Count,Total FTE,Average Salary
950,ELBERT 200,0.062,17,0.23,212,0.941,1.0,0.9,10.855,0.09523809523809523,21,20.58,36981.0
970,CALHAN RJ-1,0.205,17,0.47,428,0.87,1.0,0.75,16.94333333333333,0.0625,32,28.1,38265.0
980,HARRISON 2,0.7509999999999999,17,0.75,11771,0.8240000000000001,0.893,0.7609999999999999,17.36576923076923,0.15061058344640432,737,734.87,43171.0
990,WIDEFIELD 3,0.512,17,0.45,9258,0.82,0.8859999999999999,0.764,17.659375,0.10126582278481011,553,547.77,44349.0
1000,FOUNTAIN 8,0.5,17,0.51,7982,0.85,0.878,0.823,17.079230769230772,0.17391304347826086,506,500.94,49206.0
1010,COLORADO SPRINGS 11,0.488,17,0.59,26751,0.691,0.7440000000000001,0.642,16.37392857142857,0.1438805970149254,1675,1641.27,49076.0
1020,CHEYENNE MOUNTAIN 12,0.305,17,0.16,5084,0.9640000000000001,0.98,0.9440000000000001,15.358181818181817,0.06424581005586594,358,353.44,46665.0
1030,MANITOU SPRINGS 14,0.158,17,0.29,1361,0.941,0.9520000000000001,0.927,13.8425,0.02970297029702973,101,99.37,44402.0
1040,ACADEMY 20,0.284,17,0.13,25444,0.899,0.9179999999999999,0.88,16.79222222222222,0.09703337453646477,1618,1533.01,48790.0
1050,ELLICOTT 22,0.396,17,0.62,964,0.84,0.909,0.7859999999999999,15.61,0.10447761194029848,67,67.55,38432.0
1060,PEYTON 23 JT,0.192,17,0.29,603,0.862,1.0,0.809,16.3975,0.0,40,39.14,39435.0
1070,HANOVER 28,0.382,17,0.64,255,0.9,1.0,0.833,10.016666666666667,0.045454545454545414,22,21.6,40151.0
1080,LEWIS-PALMER 38,0.184,17,0.08,6461,0.9540000000000001,0.9620000000000001,0.948,17.663333333333334,0.0582278481012658,395,368.22,47465.0
1110,FALCON 49,0.431,17,0.3,21078,0.581,0.603,0.56,19.4972,0.09615384615384615,1040,1048.21,42857.0
1120,EDISON 54 JT,0.132,17,0.43,220,0.7390000000000001,0.667,0.818,26.48333333333333,0.0,15,14.82,35782.0
1130,MIAMI/YODER 60 JT,0.32299999999999995,17,0.52,279,0.64,0.9229999999999999,0.33299999999999996,15.18,0.04761904761904767,21,21.03,38836.0
1140,CANON CITY RE-1,0.205,17,0.57,3555,0.769,0.8220000000000001,0.7120000000000001,15.701250000000002,0.025316455696202556,237,227.39,47410.0
1150,FREMONT RE-2,0.213,17,0.57,1346,0.8109999999999999,0.857,0.782,14.775,0.08333333333333337,96,93.54,42370.0
1160,COTOPAXI RE-3,0.151,17,0.58,197,0.9229999999999999,1.0,0.909,11.015,0.0,20,19.68,37847.0
1180,ROARING FORK RE-1,0.5820000000000001,17,0.46,5442,0.861,0.91,0.8190000000000001,14.872307692307693,0.07268170426065168,399,379.89,50214.0
1195,GARFIELD RE-2,0.509,17,0.49,4644,0.851,0.9129999999999999,0.7929999999999999,17.168000000000003,0.04406779661016946,295,284.08,44488.0
1220,GARFIELD 16,0.40299999999999997,17,0.59,1076,0.795,0.914,0.684,16.3025,0.012987012987012991,77,76.21,47984.0
1330,GILPIN COUNTY RE-1,0.19899999999999998,17,0.36,447,0.87,1.0,0.8,14.01,0.05405405405405406,37,34.97,46583.0
1340,WEST GRAND 1-JT,0.345,17,0.45,406,0.892,0.9520000000000001,0.813,10.754999999999999,0.0,38,38.18,41474.0
1350,EAST GRAND 2,0.19399999999999998,17,0.24,1243,0.909,0.894,0.927,13.892500000000002,0.030612244897959218,98,94.0,48090.0
1360,GUNNISON WATERSHED RE1J,0.191,17,0.23,1998,0.951,0.983,0.9209999999999999,36.84428571428572,0.01388888888888884,144,137.33,45854.0
1380,HINSDALE COUNTY RE 1,0.125,17,0.34,85,0.75,0.5710000000000001,1.0,7.53,0.0,13,12.88,37970.0
1390,HUERFANO RE-1,0.633,17,0.79,520,0.8290000000000001,0.9470000000000001,0.727,18.62666666666667,0.1724137931034483,29,28.61,37725.0
1400,LA VETA RE-2,0.278,17,0.53,210,1.0,1.0,1.0,10.835,0.12,25,20.94,40939.0
1410,NORTH PARK R-1 ,0.21,17,0.55,163,1.0,1.0,1.0,9.06,0.08695652173913049,23,20.54,41166.0
1420,JEFFERSON COUNTY R-1,0.335,17,0.32,83144,0.835,0.87,0.802,20.111265060240964,0.09011745646010527,4938,4690.47,57154.0
1430,EADS RE-1,0.152,17,0.45,161,1.0,1.0,1.0,10.860000000000001,0.0,20,17.45,37311.0
1450,ARRIBA-FLAGLER C-20,0.10099999999999999,17,0.57,157,0.765,0.667,0.818,10.52,0.0,18,16.92,37962.0
1460,HI-PLAINS R-23,0.22399999999999998,17,0.53,94,0.846,1.0,0.7140000000000001,7.74,0.06666666666666665,15,13.95,35846.0
1480,STRATTON R-4,0.24100000000000002,17,0.56,199,1.0,1.0,1.0,12.590000000000002,0.050000000000000044,20,17.55,36931.0
1490,BETHUNE R-5,0.375,17,0.77,105,0.909,0.75,1.0,8.44,0.0,18,13.27,40446.0
1500,BURLINGTON RE-6J,0.456,17,0.64,719,0.794,0.815,0.778,15.446666666666667,0.12244897959183676,49,49.16,34935.0
1510,LAKE COUNTY R-1,0.721,17,0.64,940,0.547,0.606,0.5,35.75,0.06349206349206349,63,61.25,40508.0
1520,DURANGO 9-R,0.298,17,0.31,5077,0.826,0.84,0.813,23.74571428571429,0.08933002481389574,403,383.21,47313.0
1530,BAYFIELD 10 JT-R,0.222,17,0.31,1341,0.9109999999999999,0.9520000000000001,0.875,17.966666666666665,0.051948051948051965,77,76.5,47039.0
1540,IGNACIO 11 JT,0.725,17,0.68,786,0.75,0.833,0.6940000000000001,11.909999999999998,0.17647058823529416,68,66.75,41866.0
1550,POUDRE R-1,0.266,17,0.3,29190,0.7859999999999999,0.8140000000000001,0.7609999999999999,16.91653846153846,0.07634408602150533,1860,1743.76,54140.0
1560,THOMPSON R2-J,0.268,17,0.39,15717,0.7909999999999999,0.8240000000000001,0.759,17.24914285714286,0.05291005291005291,945,910.2,49572.0
1570,ESTES PARK R-3,0.315,17,0.41,1103,0.953,0.95,0.956,21.5875,0.059523809523809534,84,76.8,49992.0
1580,TRINIDAD 1,0.767,17,0.74,982,0.828,0.8390000000000001,0.818,17.185,0.4736842105263158,57,57.05,44863.0
1590,PRIMERO REORGANIZED 2,0.552,17,0.64,180,1.0,1.0,1.0,9.53,0.4782608695652174,23,20.67,40470.0
1600,HOEHNE REORGANIZED 3,0.5770000000000001,17,0.42,359,0.958,1.0,0.941,16.43,0.04761904761904767,21,21.85,40952.0
1620,AGUILAR REORGANIZED 6,0.569,17,0.66,109,1.0,1.0,1.0,10.8,0.0,12,11.55,35170.0
1750,BRANSON REORGANIZED 82,0.258,17,0.2,462,0.767,0.76,0.778,13.305,0.0,32,31.2,38755.0
1760,KIM REORGANIZED 88,0.12300000000000001,17,0.65,51,1.0,0.0,1.0,6.07,0.0,11,9.85,30673.0
1780,GENOA-HUGO C113,0.11599999999999999,17,0.43,166,0.846,0.857,0.833,10.56,0.0,19,18.0,37470.0
1790,LIMON RE-4J,0.187,17,0.47,476,0.833,0.857,0.8240000000000001,14.18,0.0,34,32.82,37675.0
1828,VALLEY RE-1,0.299,17,0.5,2107,0.8420000000000001,0.889,0.8,76.85714285714286,0.0625,144,139.14,38438.0
1850,FRENCHMAN RE-3,0.08900000000000001,17,0.36,171,1.0,1.0,1.0,9.120000000000001,0.0,19,20.83,35216.0
1860,BUFFALO RE-4J,0.14300000000000002,17,0.34,301,0.9,1.0,0.857,14.420000000000002,0.0,22,21.09,44344.0
1870,PLATEAU RE-5,0.065,17,0.32,152,1.0,1.0,1.0,10.345,0.0625,16,16.35,38619.0
1980,DE BEQUE 49JT,0.115,17,0.37,147,1.0,0.0,1.0,9.14,0.10526315789473684,19,18.06,46220.0
1990,PLATEAU VALLEY 50,0.266,17,0.26,437,0.244,0.324,0.213,20.0225,0.03448275862068961,29,27.78,42498.0
2000,MESA COUNTY VALLEY 51,0.29600000000000004,17,0.45,21276,0.799,0.8440000000000001,0.755,18.824545454545454,0.0842572062084257,1353,1280.49,48738.0
2010,CREEDE SCHOOL DISTRICT,0.138,17,0.48,80,1.0,1.0,1.0,7.3,0.0,12,10.95,40533.0
2020,MOFFAT COUNTY RE:NO 1,0.273,17,0.38,2050,0.8140000000000001,0.893,0.742,22.103749999999998,0.03149606299212604,127,126.66,46553.0
2035,MONTEZUMA-CORTEZ RE-1,0.508,17,0.6,2686,0.7,0.72,0.682,49.38727272727272,0.0972972972972973,185,176.63,37663.0
2055,DOLORES RE-4A,0.247,17,0.38,684,0.8,0.875,0.7140000000000001,66.7275,0.07407407407407407,54,50.97,40051.0
2070,MANCOS RE-6,0.272,17,0.61,453,0.9690000000000001,0.9329999999999999,1.0,52.2,0.030303030303030276,33,31.2,40693.0
2180,MONTROSE COUNTY RE-1J,0.42700000000000005,17,0.48,5975,0.8059999999999999,0.8340000000000001,0.775,21.673571428571428,0.019774011299435013,354,335.44,47481.0
2190,WEST END RE-2,0.12,17,0.61,276,0.895,0.889,0.9,14.76,0.03448275862068961,29,24.54,36648.0
2395,BRUSH RE-2(J),0.483,17,0.61,1428,0.93,0.9640000000000001,0.889,15.555,0.16000000000000003,100,97.38,40540.0
2405,FORT MORGAN RE-3,0.672,17,0.67,3090,0.7759999999999999,0.843,0.7190000000000001,15.41875,0.07843137254901966,204,200.17,41133.0
2505,WELDON VALLEY RE-20(J),0.175,17,0.36,208,1.0,1.0,1.0,13.09,0.052631578947368474,19,17.75,36813.0
2515,WIGGINS RE-50(J),0.32,17,0.42,547,0.955,1.0,0.9,16.896666666666665,0.08333333333333337,36,35.97,40663.0
2520,EAST OTERO R-1,0.696,17,0.74,1423,0.904,0.946,0.87,15.563333333333333,0.1777777777777778,90,89.97,37677.0
2530,ROCKY FORD R-2,0.8079999999999999,17,0.76,796,1.0,1.0,1.0,13.253333333333332,0.3220338983050848,59,59.43,37341.0
2535,MANZANOLA 3J,0.557,17,0.67,136,0.9440000000000001,1.0,0.917,8.64,0.09090909090909094,22,16.2,33291.0
2540,FOWLER R-4J,0.264,17,0.56,383,0.813,0.875,0.75,10.913333333333334,0.16216216216216217,37,34.92,38050.0
2560,CHERAW 31,0.24600000000000002,17,0.53,192,0.706,0.8,0.667,12.07,0.0,17,17.06,37806.0
2570,SWINK 33,0.331,17,0.47,372,1.0,1.0,1.0,13.254999999999999,0.12903225806451613,31,28.18,37524.0
2580,OURAY R-1,0.152,17,0.34,155,0.929,1.0,0.833,7.253333333333333,0.038461538461538436,26,22.73,49007.0
2590,RIDGWAY R-2,0.146,17,0.25,325,0.938,0.875,1.0,11.86,0.02941176470588236,34,29.91,43977.0
2600,PLATTE CANYON 1,0.188,17,0.29,842,0.9,1.0,0.825,15.936666666666666,0.050000000000000044,60,57.44,44419.0
2610,PARK COUNTY RE-2,0.23399999999999999,17,0.46,660,0.8079999999999999,0.833,0.75,16.016,0.08510638297872342,47,44.2,39854.0
2620,HOLYOKE RE-1J,0.451,17,0.49,583,0.8959999999999999,0.88,0.9129999999999999,13.196666666666667,0.08510638297872342,47,47.49,39228.0
2630,HAXTUN RE-2J,0.129,17,0.36,311,1.0,1.0,1.0,13.105,0.0357142857142857,28,24.6,40372.0
2640,ASPEN 1,0.149,17,0.05,1652,0.9279999999999999,0.958,0.897,11.192,0.02758620689655178,145,141.15,58972.0
2650,GRANADA RE-1,0.77,17,0.57,195,0.647,0.429,0.8,12.375,0.2222222222222222,18,16.58,38394.0
2660,LAMAR RE-2,0.599,17,0.64,1459,0.7829999999999999,0.833,0.732,17.31,0.15454545454545454,110,104.01,41106.0
2670,HOLLY RE-3,0.532,17,0.69,283,1.0,1.0,1.0,13.273333333333333,0.16666666666666663,24,23.14,36437.0
2680,WILEY RE-13 JT,0.265,17,0.46,226,1.0,1.0,1.0,11.004999999999999,0.08695652173913049,23,22.93,35595.0
2690,PUEBLO CITY 60,0.7509999999999999,17,0.8,16051,0.79,0.831,0.748,16.91914285714285,0.3011077542799597,993,1003.87,47617.0
2700,PUEBLO COUNTY 70,0.431,17,0.47,9557,0.845,0.894,0.809,19.102500000000003,0.21414538310412579,509,507.27,49328.0
2710,MEEKER RE1,0.14800000000000002,17,0.34,694,1.0,1.0,1.0,16.47,0.0444444444444444,45,43.06,48312.0
2720,RANGELY RE-4,0.096,17,0.31,483,0.9309999999999999,0.875,1.0,14.905000000000001,0.0,33,32.34,43664.0
2730,DEL NORTE C-7,0.5770000000000001,17,0.56,411,0.909,0.889,0.9329999999999999,14.09,0.1785714285714286,28,28.21,39584.0
2740,MONTE VISTA C-8,0.713,17,0.66,1080,0.78,0.905,0.69,18.863333333333333,0.2911392405063291,79,76.29,41730.0
2750,SARGENT RE-33J,0.319,17,0.39,370,1.0,1.0,1.0,13.229999999999999,0.033333333333333326,30,28.56,37410.0
2760,HAYDEN RE-1,0.16699999999999998,17,0.38,408,0.955,1.0,0.929,13.776666666666666,0.0,37,33.72,51325.0
2770,STEAMBOAT SPRINGS RE-2,0.18100000000000002,17,0.16,2624,0.941,0.977,0.909,15.154285714285715,0.01764705882352946,170,163.55,54064.0
2780,SOUTH ROUTT RE 3,0.10300000000000001,17,0.47,327,0.958,0.929,1.0,12.6475,0.0,33,30.67,40078.0
2790,MOUNTAIN VALLEY RE 1,0.32,17,0.75,113,0.857,0.667,1.0,8.48,0.19999999999999996,15,14.51,34962.0
2800,MOFFAT 2,0.237,17,0.79,218,0.909,1.0,0.857,10.775,0.16666666666666663,24,21.87,37529.0
2810,CENTER 26 JT,0.899,17,0.97,585,0.778,0.852,0.722,17.09,0.34782608695652173,46,45.69,37002.0
2820,SILVERTON 1,0.294,17,0.65,62,0.5,0.33299999999999996,1.0,6.066666666666666,0.0,11,10.77,40084.0
2830,TELLURIDE R-1,0.22,17,0.22,902,0.9570000000000001,1.0,0.912,12.115,0.07594936708860756,79,74.72,58403.0
2840,NORWOOD R-2J,0.105,17,0.47,219,1.0,1.0,1.0,13.0,0.0,20,18.38,47349.0
2862,JULESBURG RE-1,0.302,17,0.5,494,0.59,0.647,0.5,15.020000000000001,0.05882352941176472,34,34.25,41786.0
2865,REVERE SCHOOL DISTRICT,0.145,17,0.68,117,0.9,1.0,0.857,7.885,0.0,16,14.79,36369.0
3000,SUMMIT RE-1,0.405,17,0.32,3444,0.95,0.945,0.955,13.972222222222221,0.07999999999999996,275,248.96,56733.0
3010,CRIPPLE CREEK-VICTOR RE-1,0.12,17,0.66,338,0.72,0.6920000000000001,0.75,13.004999999999999,0.033333333333333326,30,28.24,38094.0
3020,WOODLAND PARK RE-2,0.163,17,0.3,2387,0.77,0.7879999999999999,0.755,17.863999999999997,0.01379310344827589,145,142.69,44423.0
3030,AKRON R-1,0.255,17,0.56,358,0.848,1.0,0.737,10.74,0.033333333333333326,30,32.52,34172.0
3040,ARICKAREE R-2,0.366,17,0.51,90,1.0,1.0,1.0,7.545,0.0625,16,13.35,35695.0
3050,OTIS R-3,0.12300000000000001,17,0.57,227,1.0,1.0,1.0,13.21,0.0,20,18.49,37424.0
3060,LONE STAR 101,0.185,17,0.46,119,1.0,1.0,1.0,7.196666666666666,0.0,16,17.89,30650.0
3070,WOODLIN R-104,0.113,17,0.66,91,1.0,1.0,1.0,10.315000000000001,0.0,17,11.03,29356.0
3080,WELD COUNTY RE-1,0.579,17,0.51,1816,0.867,0.87,0.8640000000000001,13.933333333333332,0.12142857142857144,140,137.72,44672.0
3085,EATON RE-2,0.275,17,0.35,1913,0.9590000000000001,0.956,0.9620000000000001,16.206,0.04201680672268904,119,115.13,46537.0
3090,WELD COUNTY SCHOOL DISTRICT RE-3J,0.447,17,0.38,2297,0.708,0.836,0.563,16.511666666666667,0.05921052631578949,152,146.22,44202.0
3100,WINDSOR RE-4,0.195,17,0.15,6121,0.9079999999999999,0.9279999999999999,0.888,17.598,0.050802139037433136,374,351.47,49436.0
3110,JOHNSTOWN-MILLIKEN RE-5J,0.326,17,0.27,3756,0.8759999999999999,0.922,0.8390000000000001,19.773333333333333,0.06666666666666665,195,194.46,51853.0
3120,GREELEY 6,0.67,17,0.64,22219,0.787,0.8420000000000001,0.737,19.19516129032258,0.11188271604938271,1296,1228.08,51592.0
3130,PLATTE VALLEY RE-7,0.375,17,0.33,1095,0.9670000000000001,1.0,0.927,13.296666666666667,0.024390243902439046,82,81.5,49671.0
3140,WELD COUNTY S/D RE-8,0.7440000000000001,17,0.68,2252,0.703,0.779,0.622,17.336,0.2152777777777778,144,141.68,47760.0
3145,AULT-HIGHLAND RE-9,0.32799999999999996,17,0.45,912,0.925,0.938,0.905,14.453333333333333,0.078125,64,62.51,40727.0
3146,BRIGGSDALE RE-10,0.136,17,0.39,161,1.0,1.0,1.0,9.275,0.0,20,18.92,41606.0
3147,PRAIRIE RE-11,0.073,17,0.27,195,0.9229999999999999,1.0,0.857,11.885000000000002,0.04761904761904767,21,17.29,43544.0
3148,PAWNEE RE-12,0.17,17,0.49,78,1.0,1.0,1.0,5.22,0.0,15,16.86,32637.0
3200,YUMA 1,0.556,17,0.63,771,0.855,0.9640000000000001,0.741,24.11,0.0461538461538461,65,64.21,43328.0
3210,WRAY RD-2,0.303,17,0.58,670,0.8240000000000001,0.85,0.7859999999999999,13.176666666666668,0.018867924528301883,53,53.82,39215.0
3220,IDALIA RJ-3,0.25,17,0.6,201,1.0,1.0,1.0,13.335,0.0,19,16.14,41745.0
3230,LIBERTY J-4,0.139,17,0.25,59,1.0,1.0,1.0,7.1,0.0,11,10.14,36723.0
9035,CENTENNIAL BOCES,0.518,17,0.07,170,0.43200000000000005,0.47200000000000003,0.40700000000000003,16.049999999999997,0.09090909090909094,22,19.11,33418.0
9050,SAN JUAN BOCES,0.344,17,0.12,61,0.33299999999999996,0.4,0.28600000000000003,488.0,0.1428571428571429,7,4.0,56605.0
9130,EXPEDITIONARY BOCES,0.267,17,0.05,389,0.895,0.9,0.889,12.75,0.0,26,29.29,39108.0
9170,COLORADO DIGITAL BOCES,0.37200000000000005,17,0.48,2246,0.32299999999999995,0.348,0.292,35.51,0.06349206349206349,63,61.5,40643.0
8001,CHARTER SCHOOL INSTITUTE,0.526,17,0.41,17266,0.509,0.551,0.47,21.040238095238095,0.1547017189079879,989,906.98,41417.0
9000,COLORADO SCHOOL FOR THE DEAF AND BLIND,0.597,17,0.61,188,0.267,0.25,0.273,5.33,0.1351351351351351,37,36.77,51589.0
10,MAPLETON 1,0.01,16,0.586,8380,0.6459999999999999,0.7140000000000001,0.573,31.946111111111108,0.16492146596858637,382,373.04,52969.0
20,ADAMS 12 FIVE STAR SCHOOLS,0.01,16,0.396,37688,0.8059999999999999,0.847,0.769,21.544615384615383,0.10684798445847499,2059,1980.15,59127.0
30,ADAMS COUNTY 14,0.01,16,0.85,6876,0.6579999999999999,0.732,0.59,20.572307692307692,0.22857142857142854,385,379.65,53825.0
50,BENNETT 29J,0.01,16,0.33399999999999996,1029,0.7709999999999999,0.8059999999999999,0.735,13.4775,0.0892857142857143,56,56.89,38758.0
60,STRASBURG 31J,0.01,16,0.26899999999999996,937,0.831,0.87,0.7909999999999999,15.17,0.01666666666666672,60,57.07,43005.0
100,ALAMOSA RE-11J,0.01,16,0.631,2339,0.7959999999999999,0.8490000000000001,0.721,26.89,0.3846153846153846,130,127.52,47666.0
110,SANGRE DE CRISTO RE-22J,0.01,16,0.594,281,1.0,1.0,1.0,12.5,0.12,25,24.05,38786.0
120,ENGLEWOOD 1,0.01,16,0.677,2554,0.5379999999999999,0.632,0.46,20.95888888888889,0.032432432432432434,185,180.79,53674.0
123,SHERIDAN 2,0.01,16,0.907,1355,0.691,0.838,0.616,16.241999999999997,0.09433962264150941,106,101.98,52164.0
130,CHERRY CREEK 5,0.01,16,0.3,53087,0.8809999999999999,0.914,0.848,20.78584615384615,0.12029841467205471,3217,3077.08,69110.0
140,LITTLETON 6,0.01,16,0.187,14859,0.9,0.9159999999999999,0.885,22.12826086956522,0.05841924398625431,873,839.54,64917.0
170,DEER TRAIL 26J,0.01,16,0.552,172,1.0,1.0,1.0,10.675,0.0,19,18.36,41396.0
180,ADAMS-ARAPAHOE 28J,0.01,16,0.665,39881,0.65,0.693,0.612,23.015901639344264,0.16531396838957713,2341,2281.04,54406.0
190,BYERS 32J,0.01,16,0.396,2980,0.603,0.632,0.5710000000000001,50.91285714285714,0.0641025641025641,78,73.91,42803.0
220,ARCHULETA COUNTY 50 JT,0.01,16,0.46,1568,0.848,0.892,0.81,17.9,0.0957446808510638,94,88.52,43670.0
230,WALSH RE-1,0.01,16,0.56,134,0.917,0.875,1.0,10.025,0.0,16,16.25,38258.0
240,PRITCHETT RE-3,0.01,16,0.579,38,0.889,1.0,0.75,5.8066666666666675,0.0,10,7.5,34367.0
250,SPRINGFIELD RE-4,0.01,16,0.6629999999999999,276,0.815,0.7859999999999999,0.846,12.355,0.08333333333333337,24,25.71,34799.0
290,LAS ANIMAS RE-1,0.01,16,0.825,1147,0.767,0.867,0.667,35.913333333333334,0.24390243902439024,41,40.04,36727.0
