Organization Code,Organization Name,Course Code,Course Name,American Indian or Alaska Native Count,Asian Count,Black or African American Count,Hispanic or Latino Count,White Count,Native Hawaiian or Other Pacific Islander Count,Two Or More Races Count,Male Count,Female Count,Total Student Count
9999,STATE TOTALS,01,Art History,1,12,5,41,151,2,13,63,162,225
9999,STATE TOTALS,02,Biology,14,290,131,679,2394,7,156,1360,2311,3671
9999,STATE TOTALS,03,Calculus AB,16,312,105,724,3342,5,178,2346,2336,4682
9999,STATE TOTALS,04,Calculus BC,5,280,41,182,1683,4,104,1319,980,2299
9999,STATE TOTALS,05,Chemistry,8,246,72,376,1710,3,101,1239,1277,2516
9999,STATE TOTALS,06,Computer Science A,5,83,31,126,579,1,45,701,169,870
9999,STATE TOTALS,07,Computer Science AB,2,19,34,125,166,1,14,192,169,361
9999,STATE TOTALS,08,Economics: Macro,5,82,11,124,739,2,34,560,437,997
9999,STATE TOTALS,09,Economics: Micro,5,111,17,132,776,0,41,634,448,1082
9999,STATE TOTALS,10,English Language and Composition,51,634,559,2559,7368,24,513,4352,7356,11708
9999,STATE TOTALS,11,English Literature and Composition,27,304,196,1137,3865,17,248,2106,3688,5794
9999,STATE TOTALS,12,Environmental Science,15,107,62,512,1606,7,84,1164,1229,2393
9999,STATE TOTALS,13,European History,2,89,20,144,1029,0,80,599,765,1364
9999,STATE TOTALS,14,French Language,0,26,10,38,189,0,8,76,195,271
9999,STATE TOTALS,15,French Literature,0,15,5,14,43,0,5,29,53,82
9999,STATE TOTALS,16,German Language,1,3,0,6,76,0,3,44,45,89
9999,STATE TOTALS,17,Government and Politics: Comparative,3,72,10,116,729,1,37,467,501,968
9999,STATE TOTALS,18,Government and Politics: United States,14,224,113,526,2252,6,155,1614,1676,3290
9999,STATE TOTALS,19,Human Geography,20,407,302,1050,3799,13,270,2536,3325,5861
9999,STATE TOTALS,20,Latin Literature,0,2,0,0,3,0,0,2,3,5
9999,STATE TOTALS,21,Latin: Vergil,0,2,0,0,1,0,1,4,0,4
9999,STATE TOTALS,22,Music Theory,0,16,6,41,187,1,16,136,131,267
9999,STATE TOTALS,23,Physics B,7,169,51,382,1526,4,91,1362,868,2230
9999,STATE TOTALS,24,Physics C: Electricity and Magnetism,0,62,5,45,422,0,24,405,153,558
9999,STATE TOTALS,25,Physics C: Mechanics,2,95,7,74,633,1,32,618,226,844
9999,STATE TOTALS,26,Psychology,23,223,166,795,2428,12,182,1321,2508,3829
9999,STATE TOTALS,27,Spanish Language,5,58,16,1065,775,1,40,709,1251,1960
9999,STATE TOTALS,28,Spanish Literature,3,38,12,797,183,1,15,388,661,1049
9999,STATE TOTALS,29,Statistics,22,231,100,667,2827,11,152,1836,2174,4010
9999,STATE TOTALS,30,Studio Art: 2-D Design,2,17,5,103,333,0,24,135,349,484
9999,STATE TOTALS,31,Studio Art: 3-D Design,4,6,5,38,198,0,9,56,204,260
9999,STATE TOTALS,32,Studio Art: Drawing,8,25,22,94,410,2,19,140,440,580
