Organization Code,Organization Name,Course Code,Course Name,American Indian or Alaska Native Count,Asian Count,Black or African American Count,Hispanic or Latino Count,White Count,Native Hawaiian or Other Pacific Islander Count,Two Or More Races Count,Male Count,Female Count,Total Student Count
9999,STATE TOTALS,01,Art History,0,13,3,33,136,1,15,51,150,201
9999,STATE TOTALS,02,Biology,12,333,111,649,2529,14,158,1446,2360,3806
9999,STATE TOTALS,03,Calculus AB,26,417,117,732,4022,18,220,2835,2717,5552
9999,STATE TOTALS,04,Calculus BC,6,307,55,325,2023,3,135,1562,1292,2854
9999,STATE TOTALS,05,Chemistry,9,259,54,453,1904,11,105,1434,1361,2795
9999,STATE TOTALS,06,Computer Science A,1,96,17,73,396,0,24,486,121,607
9999,STATE TOTALS,07,Computer Science AB,4,24,44,142,181,1,23,205,214,419
9999,STATE TOTALS,08,Economics: Macro,1,83,10,72,631,2,39,487,351,838
9999,STATE TOTALS,09,Economics: Micro,0,89,24,101,714,5,44,578,399,977
9999,STATE TOTALS,10,English Language and Composition,55,660,497,2257,7729,28,483,4389,7320,11709
9999,STATE TOTALS,11,English Literature and Composition,18,339,261,1042,4247,26,233,2230,3936,6166
9999,STATE TOTALS,12,Environmental Science,16,107,52,394,1693,6,95,1132,1231,2363
9999,STATE TOTALS,13,European History,8,68,13,154,1227,2,64,689,847,1536
9999,STATE TOTALS,14,French Language,1,23,7,58,301,2,16,131,277,408
9999,STATE TOTALS,15,French Literature,0,9,3,8,38,0,1,19,40,59
9999,STATE TOTALS,16,German Language,0,4,0,5,84,0,3,55,41,96
9999,STATE TOTALS,17,Government and Politics: Comparative,7,90,26,118,844,3,34,498,624,1122
9999,STATE TOTALS,18,Government and Politics: United States,17,267,155,706,2498,11,172,1814,2012,3826
9999,STATE TOTALS,19,Human Geography,23,365,209,971,3780,8,243,2393,3206,5599
9999,STATE TOTALS,20,Latin Literature,0,2,1,2,26,0,1,13,19,32
9999,STATE TOTALS,21,Latin: Vergil,0,0,0,0,0,0,0,0,0,0
9999,STATE TOTALS,22,Music Theory,0,21,4,28,220,0,14,140,147,287
9999,STATE TOTALS,23,Physics B,7,186,69,395,1419,2,70,1397,751,2148
9999,STATE TOTALS,24,Physics C: Electricity and Magnetism,0,99,18,156,673,1,31,683,295,978
9999,STATE TOTALS,25,Physics C: Mechanics,0,101,14,70,682,2,29,646,252,898
9999,STATE TOTALS,26,Psychology,16,225,210,697,3014,14,191,1596,2771,4367
9999,STATE TOTALS,27,Spanish Language,3,67,17,1019,988,2,50,855,1291,2146
9999,STATE TOTALS,28,Spanish Literature,4,37,12,655,231,1,8,329,619,948
9999,STATE TOTALS,29,Statistics,14,233,135,605,2927,10,172,1911,2185,4096
9999,STATE TOTALS,30,Studio Art: 2-D Design,3,16,18,107,361,2,21,149,379,528
9999,STATE TOTALS,31,Studio Art: 3-D Design,4,8,14,48,214,1,13,80,222,302
9999,STATE TOTALS,32,Studio Art: Drawing,6,31,16,114,450,0,26,194,449,643
9999,STATE TOTALS,33,U.S. History,30,426,260,1217,5008,21,297,3293,3966,7259
9999,STATE TOTALS,34,World History,19,331,192,913,2925,12,190,2017,2565,4582
9999,STATE TOTALS,35,Chinese Language and Culture,0,18,2,1,16,0,2,20,19,39
9999,STATE TOTALS,36,Japanese Language and Culture,0,5,1,1,15,0,2,13,11,24
9999,STATE TOTALS,TOTAL,2STATE TOTALS,310,5359,2641,14321,54146,209,3224,35770,44440,80210
,,,,,,,,,,,,,
0010,MAPLETON 1,01,Art History,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,02,Biology,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,03,Calculus AB,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,04,Calculus BC,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,05,Chemistry,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,06,Computer Science A,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,07,Computer Science AB,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,08,Economics: Macro,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,09,Economics: Micro,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,10,English Language and Composition,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,11,English Literature and Composition,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,12,Environmental Science,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,13,European History,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,14,French Language,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,15,French Literature,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,16,German Language,0,0,0,0,0,0,0,0,0,0
