County Code,County Name,Distr Code,Distr Name,Sch Code,School Name,PK-12 Count,Teacher FTE,Pupil/ Teacher FTE Ratio
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,6019,ASPEN VIEW ACADEMY,850,48.8802,17.39
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,6152,MOUNTAIN VIEW ELEMENTARY SCHOOL,371,17.5,21.20
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,6164,MOUNTAIN RIDGE MIDDLE SCHOOL,1151,62.505,18.41
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,6165,MOUNTAIN VISTA HIGH SCHOOL,2314,115.0973,20.10
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,6365,SKYVIEW ACADEMY,1287,82.8135,15.54
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,6396,NORTHEAST ELEMENTARY SCHOOL,341,18.75,18.19
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,6406,NORTHRIDGE ELEMENTARY SCHOOL,705,35.5,19.86
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,6719,PARKER PERFORMING ARTS,784,38.201,20.52
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,6772,SAGEWOOD MIDDLE SCHOOL,967,53.1808,18.18
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,6773,SIERRA MIDDLE SCHOOL,859,46.3138,18.55
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,6938,PINE GROVE ELEMENTARY SCHOOL,582,31.5,18.48
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,6940,PINE LANE ELEMENTARY,767,46,16.67
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,6961,PIONEER ELEMENTARY SCHOOL,488,25,19.52
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,7047,PLATTE RIVER CHARTER ACADEMY,600,26.9506,22.26
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,7096,ROXBOROUGH ELEMENTARY SCHOOL,375,19.4,19.33
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,7118,PONDEROSA HIGH SCHOOL,1349,66,20.44
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,7134,PRAIRIE CROSSING ELEMENTARY SCHOOL,657,31.5,20.86
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,7244,RENAISSANCE SECONDARY SCHOOL,355,16.1772,21.94
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,7245,RANCH VIEW MIDDLE SCHOOL,863,47.9,18.02
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,7297,REDSTONE ELEMENTARY SCHOOL,555,29.5,18.81
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,7319,RENAISSANCE EXPEDITION LEARN OUTWARD BOUND SCHOOL,394,21.2,18.58
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,7435,ROCK CANYON HIGH SCHOOL,2205,105.5,20.90
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,7448,ROCKY HEIGHTS MIDDLE SCHOOL,1458,79.0532,18.44
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,7562,SADDLE RANCH ELEMENTARY SCHOOL,494,26.4,18.71
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,7610,SAND CREEK ELEMENTARY SCHOOL,452,30.5,14.82
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,7718,SEDALIA ELEMENTARY SCHOOL,258,17.5,14.74
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,8106,SOARING HAWK ELEMENTARY SCHOOL,597,31,19.26
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,8126,SOUTH RIDGE ELEMENTARY AN IB WORLD SCHOOL,549,32.5,16.89
