School Year,Organization Code,Orgnazation Name,Total FTE,Average Salary
2017-2018,1790,LIMON RE-4J,32.82,"37,675"
2017-2018,1810,KARVAL RE-23,6.60,"30,750"
2017-2018,1828,VALLEY RE-1,139.14,"38,438"
2017-2018,1850,FRENCHMAN RE-3,20.83,"35,216"
2017-2018,1860,BUFFALO RE-4J,21.09,"44,344"
2017-2018,1870,PLATEAU RE-5,16.35,"38,619"
2017-2018,1980,DE BEQUE 49JT,18.06,"46,220"
2017-2018,1990,PLATEAU VALLEY 50,27.78,"42,498"
2017-2018,2000,MESA COUNTY VALLEY 51,"1,280.49","48,738"
2017-2018,2010,CREEDE SCHOOL DISTRICT,10.95,"40,533"
2017-2018,2020,MOFFAT COUNTY RE:NO 1,126.66,"46,553"
2017-2018,2035,MONTEZUMA-CORTEZ RE-1,176.63,"37,663"
2017-2018,2055,DOLORES RE-4A,50.97,"40,051"
2017-2018,2070,MANCOS RE-6,31.20,"40,693"
2017-2018,2180,MONTROSE COUNTY RE-1J,335.44,"47,481"
2017-2018,2190,WEST END RE-2,24.54,"36,648"
2017-2018,2395,BRUSH RE-2(J),97.38,"40,540"
2017-2018,2405,FORT MORGAN RE-3,200.17,"41,133"
2017-2018,2505,WELDON VALLEY RE-20(J),17.75,"36,813"
2017-2018,2515,WIGGINS RE-50(J),35.97,"40,663"
2017-2018,2520,EAST OTERO R-1,89.97,"37,677"
2017-2018,2530,ROCKY FORD R-2,59.43,"37,341"
2017-2018,2535,MANZANOLA 3J,16.20,"33,291"
2017-2018,2540,FOWLER R-4J,34.92,"38,050"
2017-2018,2560,CHERAW 31,17.06,"37,806"
2017-2018,2570,SWINK 33,28.18,"37,524"
2017-2018,2580,OURAY R-1,22.73,"49,007"
2017-2018,2590,RIDGWAY R-2,29.91,"43,977"
2017-2018,2600,PLATTE CANYON 1,57.44,"44,419"
2017-2018,2610,PARK COUNTY RE-2,44.20,"39,854"
2017-2018,2620,HOLYOKE RE-1J,47.49,"39,228"
2017-2018,2630,HAXTUN RE-2J,24.60,"40,372"
2017-2018,2640,ASPEN 1,141.15,"58,972"
2017-2018,2650,GRANADA RE-1,16.58,"38,394"
2017-2018,2660,LAMAR RE-2,104.01,"41,106"
2017-2018,2670,HOLLY RE-3,23.14,"36,437"
2017-2018,2680,WILEY RE-13 JT,22.93,"35,595"
2017-2018,2690,PUEBLO CITY 60,"1,003.87","47,617"
2017-2018,2700,PUEBLO COUNTY 70,507.27,"49,328"
2017-2018,2710,MEEKER RE1,43.06,"48,312"
2017-2018,2720,RANGELY RE-4,32.34,"43,664"
2017-2018,2730,DEL NORTE C-7,28.21,"39,584"
2017-2018,2740,MONTE VISTA C-8,76.29,"41,730"
2017-2018,2750,SARGENT RE-33J,28.56,"37,410"
2017-2018,2760,HAYDEN RE-1,33.72,"51,325"
2017-2018,2770,STEAMBOAT SPRINGS RE-2,163.55,"54,064"
2017-2018,2780,SOUTH ROUTT RE 3,30.67,"40,078"
2017-2018,2790,MOUNTAIN VALLEY RE 1,14.51,"34,962"
2017-2018,2800,MOFFAT 2,21.87,"37,529"
2017-2018,2810,CENTER 26 JT,45.69,"37,002"
2017-2018,2820,SILVERTON 1,10.77,"40,084"
2017-2018,2830,TELLURIDE R-1,74.72,"58,403"
2017-2018,2840,NORWOOD R-2J,18.38,"47,349"
2017-2018,2862,JULESBURG RE-1,34.25,"41,786"
2017-2018,2865,REVERE SCHOOL DISTRICT,14.79,"36,369"
2017-2018,3000,SUMMIT RE-1,248.96,"56,733"
