Organization Code,Organization Name,Course Code,Course Name,American Indian or Alaska Native Count,Asian Count,Black or African American Count,Hispanic or Latino Count,White Count,Native Hawaiian or Other Pacific Islander Count,Two Or More Races Count,Male Count,Female Count,Total Student Count
9999,STATE TOTALS,01,Art History,2,25,7,32,164,1,9,76,164,240
9999,STATE TOTALS,02,Biology,14,268,109,584,"2,531",9,128,"1,432","2,211","3,643"
9999,STATE TOTALS,03,Calculus AB,18,410,145,744,"4,046",12,201,"2,931","2,645","5,576"
9999,STATE TOTALS,04,Calculus BC,4,312,82,287,"1,971",7,135,"1,632","1,166","2,798"
9999,STATE TOTALS,05,Chemistry,7,278,89,388,"1,994",6,114,"1,537","1,339","2,876"
9999,STATE TOTALS,06,Computer Science A,2,58,10,31,259,0,21,318,63,381
9999,STATE TOTALS,07,Computer Science AB,0,18,33,110,153,2,15,167,164,331
9999,STATE TOTALS,08,Economics: Macro,3,82,14,77,804,3,31,601,413,"1,014"
9999,STATE TOTALS,09,Economics: Micro,4,62,19,104,745,2,33,593,376,969
9999,STATE TOTALS,10,English Language and Composition,39,569,518,"1,910","7,223",15,400,"4,072","6,602","10,674"
9999,STATE TOTALS,11,English Literature and Composition,32,388,287,"1,129","4,837",15,259,"2,553","4,394","6,947"
9999,STATE TOTALS,12,Environmental Science,8,85,47,362,"1,326",5,66,879,"1,020","1,899"
9999,STATE TOTALS,13,European History,3,92,34,202,"1,232",2,65,755,875,"1,630"
9999,STATE TOTALS,14,French Language,1,20,13,65,335,0,16,148,302,450
9999,STATE TOTALS,15,French Literature,0,0,0,0,0,0,0,0,0,0
9999,STATE TOTALS,16,German Language,1,3,0,4,91,0,3,59,43,102
9999,STATE TOTALS,17,Government and Politics: Comparative,1,85,22,119,990,3,35,627,628,"1,255"
9999,STATE TOTALS,18,Government and Politics: United States,17,241,195,578,"2,598",7,136,"1,757","2,015","3,772"
9999,STATE TOTALS,19,Human Geography,23,323,209,782,"3,401",13,191,"2,155","2,787","4,942"
9999,STATE TOTALS,20,Latin Literature,0,5,1,0,22,0,2,12,18,30
9999,STATE TOTALS,21,Latin: Vergil,0,0,0,0,0,0,0,0,0,0
9999,STATE TOTALS,22,Music Theory,0,19,8,57,217,0,14,155,160,315
9999,STATE TOTALS,23,Physics B,7,136,41,209,"1,201",3,59,"1,133",523,"1,656"
9999,STATE TOTALS,24,Physics C: Electricity and Magnetism,3,33,7,54,351,0,22,334,136,470
9999,STATE TOTALS,25,Physics C: Mechanics,5,69,6,60,577,1,22,519,221,740
9999,STATE TOTALS,26,Psychology,16,228,222,760,"2,952",7,162,"1,575","2,772","4,347"
9999,STATE TOTALS,27,Spanish Language,4,46,15,"1,025",925,0,44,785,"1,274","2,059"
9999,STATE TOTALS,28,Spanish Literature,0,7,4,488,96,0,7,223,379,602
9999,STATE TOTALS,29,Statistics,20,245,138,695,"3,406",10,160,"2,184","2,490","4,674"
9999,STATE TOTALS,30,Studio Art: 2-D Design,4,19,9,59,259,1,12,116,247,363
9999,STATE TOTALS,31,Studio Art: 3-D Design,1,7,3,33,82,1,10,44,93,137
9999,STATE TOTALS,32,Studio Art: Drawing,12,24,5,91,414,1,24,166,405,571
9999,STATE TOTALS,33,U.S. History,21,382,260,"1,087","4,721",16,239,"3,136","3,590","6,726"
9999,STATE TOTALS,34,World History,10,281,144,705,"2,550",9,140,"1,731","2,108","3,839"
9999,STATE TOTALS,35,Chinese Language and Culture,0,21,0,1,14,0,1,22,15,37
9999,STATE TOTALS,TOTAL,2STATE TOTALS,282,"4,841","2,696","12,832","52,487",151,"2,776","34,427","41,638","76,065"
,,,,,,,,,,,,,
0010,MAPLETON 1,01,Art History,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,02,Biology,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,03,Calculus AB,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,04,Calculus BC,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,05,Chemistry,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,06,Computer Science A,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,07,Computer Science AB,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,08,Economics: Macro,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,09,Economics: Micro,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,10,English Language and Composition,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,11,English Literature and Composition,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,12,Environmental Science,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,13,European History,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,14,French Language,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,15,French Literature,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,16,German Language,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,17,Government and Politics: Comparative,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,18,Government and Politics: United States,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,19,Human Geography,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,20,Latin Literature,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,21,Latin: Vergil,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,22,Music Theory,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,23,Physics B,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,24,Physics C: Electricity and Magnetism,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,25,Physics C: Mechanics,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,26,Psychology,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,27,Spanish Language,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,28,Spanish Literature,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,29,Statistics,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,30,Studio Art: 2-D Design,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,31,Studio Art: 3-D Design,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,32,Studio Art: Drawing,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,33,U.S. History,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,34,World History,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,35,Chinese Language and Culture,0,0,0,0,0,0,0,0,0,0
