County Code,County,Org. Code,Organization Name,F_American Indian or Alaskan Native,M_American Indian or Alaskan Native,F_Asian,M_Asian,F_Black or African American,M_Black or African American,F_Hispanic or Latino,M_Hispanic or Latino,F_White,M_White,F_Native Hawaiian or Other Pacific Islander,M_Native Hawaiian or Other Pacific Islander,F_Two or More Races,M_Two or More Races,F_Total Female Count,M_Total Male Count,PK-12 Total Count,F_Percent Female,M_Percent Male
44,MORGAN,2405,FORT MORGAN RE-3,9,7,7,8,71,74,951,"1,026",488,527,0,1,25,19,"1,551","1,662","3,213",48.3%,51.7%
44,MORGAN,2505,WELDON VALLEY RE-20(J),0,0,0,1,0,0,24,13,98,94,0,0,0,0,122,108,230,53.0%,47.0%
44,MORGAN,2515,WIGGINS RE-50(J),3,5,4,4,1,1,77,61,222,178,0,0,4,13,311,262,573,54.3%,45.7%
44,MORGAN,TOTALS, ,13,13,15,14,75,78,"1,410","1,469","1,175","1,216",0,2,39,40,"2,727","2,832","5,559",49.1%,50.9%
45,OTERO,2520,EAST OTERO R-1,6,3,3,2,4,8,436,458,199,207,6,3,14,6,668,687,"1,355",49.3%,50.7%
45,OTERO,2530,ROCKY FORD R-2,1,5,0,2,1,0,297,320,90,118,0,0,2,1,391,446,837,46.7%,53.3%
45,OTERO,2535,MANZANOLA 3J,0,0,0,0,1,0,41,36,23,26,0,0,0,2,65,64,129,50.4%,49.6%
45,OTERO,2540,FOWLER R-4J,0,0,0,1,0,0,59,37,149,145,0,0,4,1,212,184,396,53.5%,46.5%
45,OTERO,2560,CHERAW 31,0,0,1,0,1,0,35,25,73,78,0,3,0,0,110,106,216,50.9%,49.1%
45,OTERO,2570,SWINK 33,0,1,2,9,3,7,51,41,134,113,0,0,4,1,194,172,366,53.0%,47.0%
45,OTERO,TOTALS, ,7,9,6,14,10,15,919,917,668,687,6,6,24,11,"1,640","1,659","3,299",49.7%,50.3%
46,OURAY,2580,OURAY R-1,1,0,2,1,1,0,6,13,79,83,0,0,2,1,91,98,189,48.1%,51.9%
46,OURAY,2590,RIDGWAY R-2,0,2,2,0,0,0,20,13,133,150,0,0,8,6,163,171,334,48.8%,51.2%
46,OURAY,TOTALS, ,1,2,4,1,1,0,26,26,212,233,0,0,10,7,254,269,523,48.6%,51.4%
47,PARK,2600,PLATTE CANYON 1,9,6,5,5,1,1,58,58,364,437,0,0,17,28,454,535,989,45.9%,54.1%
47,PARK,2610,PARK COUNTY RE-2,2,0,2,0,4,3,44,43,270,282,0,0,10,24,332,352,684,48.5%,51.5%
47,PARK,TOTALS, ,11,6,7,5,5,4,102,101,634,719,0,0,27,52,786,887,"1,673",47.0%,53.0%
48,PHILLIPS,2620,HOLYOKE RE-1J,0,0,2,1,1,2,139,127,154,153,0,0,2,0,298,283,581,51.3%,48.7%
48,PHILLIPS,2630,HAXTUN RE-2J,0,0,0,0,0,2,12,12,142,151,1,1,3,5,158,171,329,48.0%,52.0%
48,PHILLIPS,TOTALS, ,0,0,2,1,1,4,151,139,296,304,1,1,5,5,456,454,910,50.1%,49.9%
49,PITKIN,2640,ASPEN 1,1,0,16,10,7,8,108,90,698,745,2,1,5,7,837,861,"1,698",49.3%,50.7%
49,PITKIN,TOTALS, ,1,0,16,10,7,8,108,90,698,745,2,1,5,7,837,861,"1,698",49.3%,50.7%
50,PROWERS,2650,GRANADA RE-1,0,0,0,0,0,0,76,87,23,28,0,0,2,1,101,116,217,46.5%,53.5%
50,PROWERS,2660,LAMAR RE-2,8,3,1,1,3,3,418,463,299,360,0,0,11,7,740,837,"1,577",46.9%,53.1%
50,PROWERS,2670,HOLLY RE-3,0,2,1,0,0,0,68,97,66,70,0,0,1,3,136,172,308,44.2%,55.8%
50,PROWERS,2680,WILEY RE-13 JT,0,1,2,0,0,0,36,26,96,101,0,0,3,3,137,131,268,51.1%,48.9%
50,PROWERS,TOTALS, ,8,6,4,1,3,3,598,673,484,559,0,0,17,14,"1,114","1,256","2,370",47.0%,53.0%
51,PUEBLO,2690,PUEBLO CITY 60,40,53,63,50,154,181,"5,922","6,206","2,069","2,293",5,14,124,125,"8,377","8,922","17,299",48.4%,51.6%
51,PUEBLO,2700,PUEBLO COUNTY 70,19,15,39,33,23,26,"1,698","1,788","2,652","2,919",3,1,205,227,"4,639","5,009","9,648",48.1%,51.9%
51,PUEBLO,TOTALS, ,59,68,102,83,177,207,"7,620","7,994","4,721","5,212",8,15,329,352,"13,016","13,931","26,947",48.3%,51.7%
52,RIO BLANCO,2710,MEEKER RE1,8,7,1,0,0,2,46,58,304,315,0,2,2,0,361,384,745,48.5%,51.5%
52,RIO BLANCO,2720,RANGELY RE-4,1,3,0,0,1,0,15,26,232,253,0,0,3,2,252,284,536,47.0%,53.0%
52,RIO BLANCO,TOTALS, ,9,10,1,0,1,2,61,84,536,568,0,2,5,2,613,668,"1,281",47.9%,52.1%
53,RIO GRANDE,2730,DEL NORTE C-7,1,1,2,0,0,0,123,119,84,104,0,0,1,5,211,229,440,48.0%,52.0%
53,RIO GRANDE,2740,MONTE VISTA C-8,7,13,1,0,1,2,406,418,145,163,1,0,6,10,567,606,"1,173",48.3%,51.7%
53,RIO GRANDE,2750,SARGENT RE-33J,2,4,1,3,1,1,52,46,119,142,0,0,3,2,178,198,376,47.3%,52.7%
53,RIO GRANDE,TOTALS, ,10,18,4,3,2,3,581,583,348,409,1,0,10,17,956,"1,033","1,989",48.1%,51.9%
54,ROUTT,2760,HAYDEN RE-1,0,0,1,2,3,1,29,20,151,207,2,0,0,0,186,230,416,44.7%,55.3%
54,ROUTT,2770,STEAMBOAT SPRINGS RE-2,2,1,21,15,10,9,162,185,"1,027","1,089",4,5,27,23,"1,253","1,327","2,580",48.6%,51.4%
54,ROUTT,2780,SOUTH ROUTT RE 3,0,0,0,1,1,1,10,9,149,176,1,0,3,2,164,189,353,46.5%,53.5%
