County Code,County,Org. Code,Organization Name,F_American Indian or Alaskan Native,M_American Indian or Alaskan Native,F_Asian,M_Asian,F_Black or African American,M_Black or African American,F_Hispanic or Latino,M_Hispanic or Latino,F_White,M_White,F_Native Hawaiian or Other Pacific Islander,M_Native Hawaiian or Other Pacific Islander,F_Two or More Races,M_Two or More Races,F_Total Female Count,M_Total Male Count,PK-12 Total Count,F_Percent Female,M_Percent Male
54,ROUTT,TOTALS, ,2,1,22,18,14,11,201,214,"1,327","1,472",7,5,30,25,"1,603","1,746","3,349",47.9%,52.1%
55,SAGUACHE,2790,MOUNTAIN VALLEY RE 1,0,0,0,0,0,0,15,16,55,44,0,0,2,0,72,60,132,54.5%,45.5%
55,SAGUACHE,2800,MOFFAT 2,0,2,1,2,3,0,14,4,75,80,0,0,9,11,102,99,201,50.7%,49.3%
55,SAGUACHE,2810,CENTER 26 JT,4,9,0,0,1,1,268,292,27,33,0,0,0,0,300,335,635,47.2%,52.8%
55,SAGUACHE,TOTALS, ,4,11,1,2,4,1,297,312,157,157,0,0,11,11,474,494,968,49.0%,51.0%
56,SAN JUAN,2820,SILVERTON 1,0,0,0,0,0,0,9,18,27,26,0,0,0,0,36,44,80,45.0%,55.0%
56,SAN JUAN,TOTALS, ,0,0,0,0,0,0,9,18,27,26,0,0,0,0,36,44,80,45.0%,55.0%
57,SAN MIGUEL,2830,TELLURIDE R-1,3,0,3,1,2,3,67,85,340,371,1,1,7,16,423,477,900,47.0%,53.0%
57,SAN MIGUEL,2840,NORWOOD R-2J,2,1,1,2,0,0,14,8,111,102,0,0,1,1,129,114,243,53.1%,46.9%
57,SAN MIGUEL,TOTALS, ,5,1,4,3,2,3,81,93,451,473,1,1,8,17,552,591,"1,143",48.3%,51.7%
58,SEDGWICK,2862,JULESBURG RE-1,6,1,3,2,5,8,86,88,219,189,1,0,12,13,332,301,633,52.4%,47.6%
58,SEDGWICK,2865,REVERE SCHOOL DISTRICT,1,2,1,0,0,0,6,3,56,49,0,1,0,0,64,55,119,53.8%,46.2%
58,SEDGWICK,TOTALS, ,7,3,4,2,5,8,92,91,275,238,1,1,12,13,396,356,752,52.7%,47.3%
59,SUMMIT,3000,SUMMIT RE-1,3,2,13,11,15,19,590,632,"1,015","1,127",1,1,53,75,"1,690","1,867","3,557",47.5%,52.5%
59,SUMMIT,TOTALS, ,3,2,13,11,15,19,590,632,"1,015","1,127",1,1,53,75,"1,690","1,867","3,557",47.5%,52.5%
60,TELLER,3010,CRIPPLE CREEK-VICTOR RE-1,2,3,1,1,2,2,18,15,142,179,0,1,5,3,170,204,374,45.5%,54.5%
60,TELLER,3020,WOODLAND PARK RE-2,5,8,16,8,9,13,114,122,951,"1,122",1,2,53,56,"1,149","1,331","2,480",46.3%,53.7%
60,TELLER,TOTALS, ,7,11,17,9,11,15,132,137,"1,093","1,301",1,3,58,59,"1,319","1,535","2,854",46.2%,53.8%
61,WASHINGTON,3030,AKRON R-1,2,0,4,1,0,1,31,37,132,159,0,0,3,8,172,206,378,45.5%,54.5%
61,WASHINGTON,3040,ARICKAREE R-2,0,0,0,0,0,1,17,13,29,37,0,0,0,0,46,51,97,47.4%,52.6%
61,WASHINGTON,3050,OTIS R-3,1,0,0,1,4,2,5,8,101,115,0,0,3,2,114,128,242,47.1%,52.9%
61,WASHINGTON,3060,LONE STAR 101,0,0,1,0,0,0,11,7,49,46,0,1,0,0,61,54,115,53.0%,47.0%
61,WASHINGTON,3070,WOODLIN R-104,0,0,0,0,3,0,5,10,49,46,0,0,0,0,57,56,113,50.4%,49.6%
61,WASHINGTON,TOTALS, ,3,0,5,2,7,4,69,75,360,403,0,1,6,10,450,495,945,47.6%,52.4%
62,WELD,3080,WELD COUNTY RE-1,10,7,4,1,3,8,525,576,422,423,0,0,12,13,976,"1,028","2,004",48.7%,51.3%
62,WELD,3085,EATON RE-2,1,2,5,4,4,4,225,238,696,668,0,0,12,19,943,935,"1,878",50.2%,49.8%
62,WELD,3090,WELD COUNTY SCHOOL DISTRICT RE-3J,5,6,6,19,6,12,473,506,615,658,2,1,16,27,"1,123","1,229","2,352",47.7%,52.3%
62,WELD,3100,WINDSOR RE-4,13,9,42,27,15,18,405,470,"2,398","2,482",0,0,74,81,"2,947","3,087","6,034",48.8%,51.2%
62,WELD,3110,JOHNSTOWN-MILLIKEN RE-5J,3,4,19,13,9,14,552,571,"1,260","1,316",1,2,31,35,"1,875","1,955","3,830",49.0%,51.0%
62,WELD,3120,GREELEY 6,32,41,245,288,234,269,"6,502","6,623","3,614","3,740",32,21,154,155,"10,813","11,137","21,950",49.3%,50.7%
62,WELD,3130,PLATTE VALLEY RE-7,1,2,3,0,1,2,195,193,345,357,0,0,3,6,548,560,"1,108",49.5%,50.5%
62,WELD,3140,WELD COUNTY S/D RE-8,6,7,6,8,5,7,827,910,288,300,2,1,13,8,"1,147","1,241","2,388",48.0%,52.0%
62,WELD,3145,AULT-HIGHLAND RE-9,2,2,1,0,0,0,139,129,269,302,0,0,2,7,413,440,853,48.4%,51.6%
62,WELD,3146,BRIGGSDALE RE-10,0,0,4,1,0,0,4,16,77,77,0,0,2,0,87,94,181,48.1%,51.9%
62,WELD,3147,PRAIRIE RE-11,0,0,0,0,0,0,6,3,102,103,0,0,3,0,111,106,217,51.2%,48.8%
62,WELD,3148,PAWNEE RE-12,0,0,0,0,0,0,3,5,26,42,0,0,0,1,29,48,77,37.7%,62.3%
62,WELD,TOTALS, ,73,80,335,361,277,334,"9,856","10,240","10,112","10,468",37,25,322,352,"21,012","21,860","42,872",49.0%,51.0%
63,YUMA,3200,YUMA 1,0,0,1,0,1,4,226,210,176,186,0,0,0,3,404,403,807,50.1%,49.9%
63,YUMA,3210,WRAY RD-2,1,1,2,0,1,1,93,100,247,223,0,0,1,5,345,330,675,51.1%,48.9%
63,YUMA,3220,IDALIA RJ-3,3,2,0,0,0,0,29,23,88,79,0,0,0,2,120,106,226,53.1%,46.9%
63,YUMA,3230,LIBERTY J-4,0,0,0,0,0,0,6,5,27,41,0,0,1,0,34,46,80,42.5%,57.5%
63,YUMA,TOTALS, ,4,3,3,0,2,5,354,338,538,529,0,0,2,10,903,885,"1,788",50.5%,49.5%
90,COLORADO BOCS,9030,MOUNTAIN BOCES,1,2,0,0,4,2,36,25,50,43,0,0,0,0,91,72,163,55.8%,44.2%
90,COLORADO BOCS,9035,CENTENNIAL BOCES,0,2,0,0,0,0,31,52,29,42,0,0,1,3,61,99,160,38.1%,61.9%
90,COLORADO BOCS,9050,SAN JUAN BOCES,0,2,1,0,1,1,2,6,16,14,0,0,1,1,21,24,45,46.7%,53.3%
90,COLORADO BOCS,9130,EXPEDITIONARY BOCES,0,0,5,5,6,5,18,26,133,162,0,0,11,22,173,220,393,44.0%,56.0%
90,COLORADO BOCS,9170,COLORADO DIGITAL BOCES,22,14,14,3,56,54,133,102,802,767,4,6,83,76,"1,114","1,022","2,136",52.2%,47.8%
90,COLORADO BOCS,TOTALS, ,23,20,20,8,67,62,220,211,"1,030","1,028",4,6,96,102,"1,460","1,437","2,897",50.4%,49.6%
98,NONE,8001,CHARTER SCHOOL INSTITUTE,36,45,267,276,340,322,"3,578","3,267","3,900","3,885",25,17,252,217,"8,398","8,029","16,427",51.1%,48.9%
98,NONE,9000,COLORADO SCHOOL FOR THE DEAF AND BLIND,0,1,4,7,8,7,38,46,32,46,1,0,5,8,88,115,203,43.3%,56.7%
98,NONE,TOTALS, ,36,46,271,283,348,329,"3,616","3,313","3,932","3,931",26,17,257,225,"8,486","8,144","16,630",51.0%,49.0%
999,No County,9999,COLORADO DETENTION CENTER TOTAL,1,1,0,1,4,25,18,77,23,38,0,0,2,3,48,145,193,24.9%,75.1%
999,No County,TOTALS, ,1,1,0,1,4,25,18,77,23,38,0,0,2,3,48,145,193,24.9%,75.1%
,,, ,,,,,,,,,,,,,,,,,,,
,,TOTALS, ,"3,161","3,350","14,557","13,752","20,041","21,437","148,187","155,386","235,032","251,505","1,087","1,136","17,931","18,457","439,996","465,023","905,019",48.62%,51.38%
