County Code,County Name,District Code,District Name,School  Code,School Name,PK-12 Student Enrollment,Teacher FTE,Pupil/Teacher Ratio,,,,,,,,,,,,,
20,ELBERT,0920,ELIZABETH C-1,7925,SINGING HILLS ELEMENTARY SCHOOL,394,24.02,16.41,,,,,,,,,,,,,
20,ELBERT,0930,KIOWA C-2,4724,KIOWA ELEMENTARY SCHOOL,132,6.62,19.95,,,,,,,,,,,,,
20,ELBERT,0930,KIOWA C-2,4726,KIOWA MIDDLE SCHOOL,65,6.66,9.76,,,,,,,,,,,,,
20,ELBERT,0930,KIOWA C-2,4728,KIOWA HIGH SCHOOL,89,7.88,11.29,,,,,,,,,,,,,
20,ELBERT,0940,BIG SANDY 100J,7914,SIMLA ELEMENTARY SCHOOL,141,10.38,13.58,,,,,,,,,,,,,
20,ELBERT,0940,BIG SANDY 100J,7918,SIMLA JUNIOR HIGH SCHOOL,68,7.23,9.41,,,,,,,,,,,,,
20,ELBERT,0940,BIG SANDY 100J,7922,SIMLA HIGH SCHOOL,92,8.57,10.73,,,,,,,,,,,,,
20,ELBERT,0950,ELBERT 200,2570,ELBERT ELEMENTARY SCHOOL,85,9.24,9.19,,,,,,,,,,,,,
20,ELBERT,0950,ELBERT 200,2574,ELBERT JUNIOR-SENIOR HIGH SCHOOL,128,11.16,11.47,,,,,,,,,,,,,
20,ELBERT,0960,AGATE 300,0044,AGATE ELEMENTARY SCHOOL,3,2.97,1.01,,,,,,,,,,,,,
21,EL PASO,0970,CALHAN RJ-1,1210,CALHAN ELEMENTARY SCHOOL,200,13.01,15.37,,,,,,,,,,,,,
21,EL PASO,0970,CALHAN RJ-1,1215,CALHAN MIDDLE SCHOOL,113,7.28,15.53,,,,,,,,,,,,,
21,EL PASO,0970,CALHAN RJ-1,1218,CALHAN HIGH SCHOOL,147,9.44,15.56,,,,,,,,,,,,,
21,EL PASO,0980,HARRISON 2,0469,ATLAS PREPARATORY SCHOOL,814,36.96,22.03,,,,,,,,,,,,,
21,EL PASO,0980,HARRISON 2,1000,BRICKER ELEMENTARY SCHOOL,378,28.00,13.50,,,,,,,,,,,,,
21,EL PASO,0980,HARRISON 2,1306,CARMEL MIDDLE SCHOOL,443,34.64,12.79,,,,,,,,,,,,,
21,EL PASO,0980,HARRISON 2,1383,CENTENNIAL ELEMENTARY SCHOOL,563,32.80,17.17,,,,,,,,,,,,,
21,EL PASO,0980,HARRISON 2,3392,GIBERSON ELEMENTARY SCHOOL,386,25.72,15.01,,,,,,,,,,,,,
21,EL PASO,0980,HARRISON 2,3522,FOX MEADOW MIDDLE SCHOOL,583,33.45,17.43,,,,,,,,,,,,,
21,EL PASO,0980,HARRISON 2,3806,HARRISON HIGH SCHOOL,961,58.03,16.56,,,,,,,,,,,,,
21,EL PASO,0980,HARRISON 2,3870,HIGH SCHOOL PREPARATORY ACADEMY,82,7.50,10.93,,,,,,,,,,,,,
21,EL PASO,0980,HARRISON 2,4378,JAMES IRWIN CHARTER HIGH SCHOOL,422,25.95,16.26,,,,,,,,,,,,,
21,EL PASO,0980,HARRISON 2,4379,JAMES IRWIN CHARTER MIDDLE SCHOOL,448,22.84,19.62,,,,,,,,,,,,,
21,EL PASO,0980,HARRISON 2,4380,JAMES IRWIN CHARTER ELEMENTARY SCHOOL,540,18.68,28.90,,,,,,,,,,,,,
21,EL PASO,0980,HARRISON 2,5763,MOUNTAIN VISTA HOMESCHOOL ACADEMY,291,5.46,53.30,,,,,,,,,,,,,
21,EL PASO,0980,HARRISON 2,6018,MONTEREY ELEMENTARY SCHOOL,404,25.00,16.16,,,,,,,,,,,,,
21,EL PASO,0980,HARRISON 2,6162,MOUNTAIN VISTA COMMUNITY SCHOOL,609,45.75,13.31,,,,,,,,,,,,,
21,EL PASO,0980,HARRISON 2,6460,OAK CREEK ELEMENTARY SCHOOL,301,19.96,15.08,,,,,,,,,,,,,
21,EL PASO,0980,HARRISON 2,6578,OTERO ELEMENTARY SCHOOL,380,25.80,14.73,,,,,,,,,,,,,
21,EL PASO,0980,HARRISON 2,6686,PANORAMA MIDDLE SCHOOL,485,32.26,15.04,,,,,,,,,,,,,
21,EL PASO,0980,HARRISON 2,6936,PIKES PEAK ELEMENTARY SCHOOL,467,31.83,14.67,,,,,,,,,,,,,
21,EL PASO,0980,HARRISON 2,7611,SAND CREEK ELEMENTARY SCHOOL,505,33.00,15.30,,,,,,,,,,,,,
21,EL PASO,0980,HARRISON 2,7882,SIERRA HIGH SCHOOL,787,48.23,16.32,,,,,,,,,,,,,
21,EL PASO,0980,HARRISON 2,8034,SOARING EAGLES ELEMENTARY SCHOOL,556,33.90,16.40,,,,,,,,,,,,,
21,EL PASO,0980,HARRISON 2,8337,STRATMOOR HILLS ELEMENTARY SCHOOL,251,23.50,10.68,,,,,,,,,,,,,
21,EL PASO,0980,HARRISON 2,8350,STRATTON MEADOWS ELEMENTARY SCHOOL,364,23.71,15.35,,,,,,,,,,,,,
21,EL PASO,0980,HARRISON 2,8923,TURMAN ELEMENTARY SCHOOL,282,17.81,15.83,,,,,,,,,,,,,
21,EL PASO,0980,HARRISON 2,9602,WILDFLOWER ELEMENTARY SCHOOL,475,30.83,15.41,,,,,,,,,,,,,
21,EL PASO,0990,WIDEFIELD 3,3234,FRENCH ELEMENTARY SCHOOL,611,28.00,21.82,,,,,,,,,,,,,
21,EL PASO,0990,WIDEFIELD 3,4346,TALBOTT ELEMENTARY SCHOOL,372,26.43,14.07,,,,,,,,,,,,,
21,EL PASO,0990,WIDEFIELD 3,4394,JANITELL JUNIOR HIGH SCHOOL,727,41.60,17.48,,,,,,,,,,,,,
21,EL PASO,0990,WIDEFIELD 3,5033,JAMES MADISON CHARTER ACADEMY SCHOOL,159,13.37,11.89,,,,,,,,,,,,,
21,EL PASO,0990,WIDEFIELD 3,5602,MARTIN LUTHER KING JR ELEMENTARY SCHOOL,645,30.93,20.85,,,,,,,,,,,,,
21,EL PASO,0990,WIDEFIELD 3,5841,MESA RIDGE HIGH SCHOOL,1330,67.55,19.69,,,,,,,,,,,,,
21,EL PASO,0990,WIDEFIELD 3,6952,PINELLO ELEMENTARY SCHOOL,329,25.00,13.16,,,,,,,,,,,,,
21,EL PASO,0990,WIDEFIELD 3,8122,VENETUCCI ELEMENTARY SCHOOL,471,30.00,15.70,,,,,,,,,,,,,
21,EL PASO,0990,WIDEFIELD 3,8178,SPROUL JUNIOR HIGH SCHOOL,570,34.50,16.52,,,,,,,,,,,,,
21,EL PASO,0990,WIDEFIELD 3,8392,SUNRISE ELEMENTARY SCHOOL,649,31.79,20.42,,,,,,,,,,,,,
21,EL PASO,0990,WIDEFIELD 3,9294,WATSON JUNIOR HIGH SCHOOL,701,38.40,18.26,,,,,,,,,,,,,
21,EL PASO,0990,WIDEFIELD 3,9334,WEBSTER ELEMENTARY SCHOOL,671,29.00,23.14,,,,,,,,,,,,,
21,EL PASO,0990,WIDEFIELD 3,9560,DISCOVERY HIGH SCHOOL,60,6.00,10.00,,,,,,,,,,,,,
21,EL PASO,0990,WIDEFIELD 3,9562,WIDEFIELD ELEMENTARY SCHOOL,401,28.59,14.03,,,,,,,,,,,,,
21,EL PASO,0990,WIDEFIELD 3,9566,WIDEFIELD HIGH SCHOOL,1312,67.16,19.53,,,,,,,,,,,,,
21,EL PASO,0990,WIDEFIELD 3,9656,WIDEFIELD DISTRICT 3 PRESCHOOL,427,19.40,22.01,,,,,,,,,,,,,
21,EL PASO,1000,FOUNTAIN 8,0203,WELTE EDUCATION CENTER,110,10.27,10.71,,,,,,,,,,,,,
21,EL PASO,1000,FOUNTAIN 8,1332,CARSON MIDDLE SCHOOL,647,45.00,14.38,,,,,,,,,,,,,
21,EL PASO,1000,FOUNTAIN 8,1334,ABRAMS ELEMENTARY SCHOOL,449,32.00,14.03,,,,,,,,,,,,,
21,EL PASO,1000,FOUNTAIN 8,2037,CONRAD EARLY LEARNING CENTER,179,6.00,29.83,,,,,,,,,,,,,
21,EL PASO,1000,FOUNTAIN 8,3027,EAGLESIDE ELEMENTARY SCHOOL,644,38.53,16.71,,,,,,,,,,,,,
21,EL PASO,1000,FOUNTAIN 8,3102,ARAGON ELEMENTARY SCHOOL,473,33.00,14.33,,,,,,,,,,,,,
21,EL PASO,1000,FOUNTAIN 8,3106,FOUNTAIN MIDDLE SCHOOL,921,59.59,15.45,,,,,,,,,,,,,
21,EL PASO,1000,FOUNTAIN 8,3108,MESA ELEMENTARY SCHOOL,437,27.35,15.98,,,,,,,,,,,,,
21,EL PASO,1000,FOUNTAIN 8,3110,FOUNTAIN-FORT CARSON HIGH SCHOOL,1864,103.14,18.07,,,,,,,,,,,,,
