County Name,Organization Code,Organization Name,All Students Final Grad Base,All Students Graduates Total,All Students Graduation Rate,All Students Completers Total,All Students Completion Rate,Female Final Grad Base,Females Graduates Total,Female Graduation Rate,Female Completers Total,Female Completion Rate,Male Final Grad Base, Male Graduates Total,Male Graduation Rate,Male Completers Total,Male Completion Rate,American Indian or Alaska Native Final Grad Base,American Indian or Alaska Native Graduates,American Indian or Alaska Native Graduation Rate,American Indian or Alaska Native Completers Total,American Indian or Alaska Native Completion Rate,American Indian or Alaska Native Female Final Grad Base,American Indian or Alaska Native Female Graduates,American Indian or Alaska Native Female Native Graduation Rate,American Indian or Alaska Native Female Completers Total,American Indian or Alaska Native Female Completion Rate,American Indian or Alaska Native Male Final Grad Base,American Indian or Alaska Native Male Graduates,American Indian or Alaska Native Male Graduation Rate,American Indian or Alaska Native Male Completers Total,American Indian or Alaska Native Male Completion Rate,Asian Final Grad Base,Asian Graduates,Asian Graduation Rate,Asian Completers Total,Asian Completion Rate,Asian Female Final Grad Base,Asian Female Graduates,Asian Female Graduation Rate,Asian Female Completers Total,Asian Female Completion Rate,Asian Male Final Grad Base,Asian Male Graduates,Asian Male Graduation Rate,Asian Male Completers Total,Asian Male Completion Rate,Black or African American Final Grad Base,Black or African American Graduates,Black or African American Graduation Rate,Black or African American Completers Total,Black or African American Completion Rate,Black or African American Female Final Grad Base,Black or African American Female Graduates,Black or African American Female Graduation Rate,Black or African American Female Completers Total,Black or African American Female Completion Rate,Black or African American Male Final Grad Base,Black or African American Male Graduates,Black or African American Male Graduation Rate,Black or African American Male Completers Total,Black or African American Male Completion Rate,Hispanic or Latino Final Grad Base,Hispanic or Latino Graduates,Hispanic or Latino Graduation Rate,Hispanic or Latino Completers Total,Hispanic or Latino Completion Rate,Hispanic or Latino Female Final Grad Base,Hispanic or Latino Female Graduates,Hispanic or Latino Female Graduation Rate,Hispanic or Latino Female Completers Total,Hispanic or Latino Female Completion Rate,Hispanic or Latino Male Final Grad Base,Hispanic or Latino Male Graduates,Hispanic or Latino Male Graduation Rate,Hispanic or Latino Male Completers Total,Hispanic or Latino Male Completion Rate,White Final Grad Base,White Graduates,White Graduation Rate,White Completers Total,White Completion Rate,White Female Final Grad Base,White Female Graduates,White Female Graduation Rate,White Female Completers Total,White Female Completion Rate,White Male Final Grad Base,White Male Graduates,White Male Graduation Rate,White Male Completers Total,White Male Completion Rate,Native Hawaiian or Other Pacific Islander Grad Base,Native Hawaiian or Other Pacific Islander Graduates,Native Hawaiian or Other Pacific Islander Graduation Rate,Native Hawaiian or Other Pacific Islander Completers Total,Native Hawaiian or Other Pacific Islander Completion Rate,Native Hawaiian or Other Pacific Islander Female Grad Base,Native Hawaiian or Other Pacific Islander Female Graduates,Native Hawaiian or Other Pacific Islander Female Graduation Rate,Native Hawaiian or Other Pacific Islander Female Completers Total,Native Hawaiian or Other Pacific Islander Female Completion Rate,Native Hawaiian or Other Pacific Islander Male Grad Base,Native Hawaiian or Other Pacific Islander Male Graduates,Native Hawaiian or Other Pacific Islander Male Graduation Rate,Native Hawaiian or Other Pacific Islander Male Completers Total,Native Hawaiian or Other Pacific Islander Male Completion Rate,Two or More Races Final Grad Base,Two or More Races Graduates,Two or More Races Graduation Rate,Two or More Races Completers Total,Two or More Races Completion Rate,Two or More Races Female Final Grad Base,Two or More Races Female Graduates,Two or More Races Female Graduation Rate,Two or More Races Female Completers Total,Two or More Races Female Completion Rate,Two or More Races Male Final Grad Base,Two or More Races Male Graduates,Two or More Races Male Graduation Rate,Two or More Races Male Completers Total,Two or More Races Male Completion Rate
LA PLATA,1530,BAYFIELD 10 JT-R,77,64,83.1%,68,88.3%,36,31,86.1%,32,88.9%,41,33,80.5%,36,87.8%,1,1,100.0%,1,100.0%,1,1,100.0%,1,100.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,10,9,90.0%,10,100.0%,5,5,100.0%,5,100.0%,5,4,80.0%,5,100.0%,66,54,81.8%,57,86.4%,30,25,83.3%,26,86.7%,36,29,80.6%,31,86.1%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%
LA PLATA,1540,IGNACIO 11 JT,57,43,75.4%,47,82.5%,28,22,78.6%,24,85.7%,29,21,72.4%,23,79.3%,15,11,73.3%,11,73.3%,9,9,100.0%,9,100.0%,6,2,33.3%,2,33.3%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,21,17,81.0%,18,85.7%,8,6,75.0%,6,75.0%,13,11,84.6%,12,92.3%,18,12,66.7%,15,83.3%,9,5,55.6%,7,77.8%,9,7,77.8%,8,88.9%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,3,3,100.0%,3,100.0%,2,2,100.0%,2,100.0%,1,1,100.0%,1,100.0%
LARIMER,1550,POUDRE R-1,"2,099","1,708",81.4%,"1,745",83.1%,"1,001",840,83.9%,856,85.5%,"1,098",868,79.1%,889,81.0%,10,6,60.0%,6,60.0%,2,1,50.0%,1,50.0%,8,5,62.5%,5,62.5%,89,80,89.9%,80,89.9%,49,44,89.8%,44,89.8%,40,36,90.0%,36,90.0%,24,13,54.2%,13,54.2%,12,8,66.7%,8,66.7%,12,5,41.7%,5,41.7%,339,227,67.0%,231,68.1%,172,123,71.5%,126,73.3%,167,104,62.3%,105,62.9%,"1,578","1,339",84.9%,"1,370",86.8%,740,644,87.0%,656,88.6%,838,695,82.9%,714,85.2%,1,1,100.0%,1,100.0%,1,1,100.0%,1,100.0%,0,0,0.0%,0,0.0%,58,42,72.4%,44,75.9%,25,19,76.0%,20,80.0%,33,23,69.7%,24,72.7%
LARIMER,1560,THOMPSON R2-J,"1,163",923,79.4%,943,81.1%,572,476,83.2%,488,85.3%,591,447,75.6%,455,77.0%,7,4,57.1%,4,57.1%,4,1,25.0%,1,25.0%,3,3,100.0%,3,100.0%,12,11,91.7%,12,100.0%,6,5,83.3%,6,100.0%,6,6,100.0%,6,100.0%,14,10,71.4%,10,71.4%,4,4,100.0%,4,100.0%,10,6,60.0%,6,60.0%,216,150,69.4%,154,71.3%,99,70,70.7%,72,72.7%,117,80,68.4%,82,70.1%,890,729,81.9%,743,83.5%,445,384,86.3%,393,88.3%,445,345,77.5%,350,78.7%,1,1,100.0%,1,100.0%,1,1,100.0%,1,100.0%,0,0,0.0%,0,0.0%,23,18,78.3%,19,82.6%,13,11,84.6%,11,84.6%,10,7,70.0%,8,80.0%
LARIMER,1570,ESTES PARK R-3,79,73,92.4%,73,92.4%,31,28,90.3%,28,90.3%,48,45,93.8%,45,93.8%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,17,13,76.5%,13,76.5%,9,7,77.8%,7,77.8%,8,6,75.0%,6,75.0%,60,58,96.7%,58,96.7%,22,21,95.5%,21,95.5%,38,37,97.4%,37,97.4%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,2,2,100.0%,2,100.0%,0,0,0.0%,0,0.0%,2,2,100.0%,2,100.0%
LAS ANIMAS,1580,TRINIDAD 1,58,50,86.2%,53,91.4%,29,27,93.1%,27,93.1%,29,23,79.3%,26,89.7%,1,1,100.0%,1,100.0%,1,1,100.0%,1,100.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,42,36,85.7%,38,90.5%,21,19,90.5%,19,90.5%,21,17,81.0%,19,90.5%,15,13,86.7%,14,93.3%,7,7,100.0%,7,100.0%,8,6,75.0%,7,87.5%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%
LAS ANIMAS,1590,PRIMERO REORGANIZED 2,9,8,88.9%,9,100.0%,6,5,83.3%,6,100.0%,3,3,100.0%,3,100.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,5,5,100.0%,5,100.0%,4,4,100.0%,4,100.0%,1,1,100.0%,1,100.0%,4,3,75.0%,4,100.0%,2,1,50.0%,2,100.0%,2,2,100.0%,2,100.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%
LAS ANIMAS,1600,HOEHNE REORGANIZED 3,18,17,94.4%,18,100.0%,8,8,100.0%,8,100.0%,10,9,90.0%,10,100.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,9,8,88.9%,9,100.0%,5,5,100.0%,5,100.0%,4,3,75.0%,4,100.0%,9,9,100.0%,9,100.0%,3,3,100.0%,3,100.0%,6,6,100.0%,6,100.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%
LAS ANIMAS,1620,AGUILAR REORGANIZED 6,7,6,85.7%,7,100.0%,3,3,100.0%,3,100.0%,4,3,75.0%,4,100.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,2,1,50.0%,2,100.0%,1,1,100.0%,1,100.0%,1,0,0.0%,1,100.0%,5,5,100.0%,5,100.0%,2,2,100.0%,2,100.0%,3,3,100.0%,3,100.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%
LAS ANIMAS,1750,BRANSON REORGANIZED 82,52,42,80.8%,42,80.8%,32,26,81.3%,26,81.3%,20,16,80.0%,16,80.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,4,4,100.0%,4,100.0%,3,3,100.0%,3,100.0%,1,1,100.0%,1,100.0%,9,8,88.9%,8,88.9%,7,7,100.0%,7,100.0%,2,1,50.0%,1,50.0%,36,27,75.0%,27,75.0%,20,14,70.0%,14,70.0%,16,13,81.3%,13,81.3%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,3,3,100.0%,3,100.0%,2,2,100.0%,2,100.0%,1,1,100.0%,1,100.0%
