Organization Code,Organization Name,Course Code,Course Name,American Indian or Alaska Native Count,Asian Count,Black or African American Count,Hispanic or Latino Count,White Count,Native Hawaiian or Other Pacific Islander Count,Two Or More Races Count,Male Count,Female Count,Total Student Count
0010,MAPLETON 1,36,Japanese Language and Culture,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,TOTAL,DISTRICT TOTALS,0,0,0,0,0,0,0,0,0,0
0020,ADAMS 12 FIVE STAR SCHOOLS,01,Art History,0,0,0,0,0,0,0,0,0,0
0020,ADAMS 12 FIVE STAR SCHOOLS,02,Biology,1,6,1,16,27,0,1,25,27,52
0020,ADAMS 12 FIVE STAR SCHOOLS,03,Calculus AB,1,45,1,39,196,1,5,140,148,288
0020,ADAMS 12 FIVE STAR SCHOOLS,04,Calculus BC,0,4,1,7,5,0,0,14,3,17
0020,ADAMS 12 FIVE STAR SCHOOLS,05,Chemistry,0,12,0,9,29,2,0,26,26,52
0020,ADAMS 12 FIVE STAR SCHOOLS,06,Computer Science A,0,0,0,0,0,0,0,0,0,0
0020,ADAMS 12 FIVE STAR SCHOOLS,07,Computer Science AB,0,0,0,0,0,0,0,0,0,0
0020,ADAMS 12 FIVE STAR SCHOOLS,08,Economics: Macro,0,0,0,0,0,0,0,0,0,0
0020,ADAMS 12 FIVE STAR SCHOOLS,09,Economics: Micro,0,0,0,0,0,0,0,0,0,0
0020,ADAMS 12 FIVE STAR SCHOOLS,10,English Language and Composition,3,14,1,23,87,1,3,44,88,132
0020,ADAMS 12 FIVE STAR SCHOOLS,11,English Literature and Composition,0,3,1,15,20,0,0,9,30,39
0020,ADAMS 12 FIVE STAR SCHOOLS,12,Environmental Science,0,1,0,8,27,1,1,18,20,38
0020,ADAMS 12 FIVE STAR SCHOOLS,13,European History,0,0,0,0,0,0,0,0,0,0
0020,ADAMS 12 FIVE STAR SCHOOLS,14,French Language,0,0,0,0,0,0,0,0,0,0
0020,ADAMS 12 FIVE STAR SCHOOLS,15,French Literature,0,0,0,0,0,0,0,0,0,0
0020,ADAMS 12 FIVE STAR SCHOOLS,16,German Language,0,0,0,0,0,0,0,0,0,0
0020,ADAMS 12 FIVE STAR SCHOOLS,17,Government and Politics: Comparative,0,0,0,0,2,0,0,2,0,2
0020,ADAMS 12 FIVE STAR SCHOOLS,18,Government and Politics: United States,0,2,0,4,20,1,0,14,13,27
0020,ADAMS 12 FIVE STAR SCHOOLS,19,Human Geography,0,9,0,15,61,1,0,43,43,86
0020,ADAMS 12 FIVE STAR SCHOOLS,20,Latin Literature,0,0,0,0,0,0,0,0,0,0
0020,ADAMS 12 FIVE STAR SCHOOLS,21,Latin: Vergil,0,0,0,0,0,0,0,0,0,0
0020,ADAMS 12 FIVE STAR SCHOOLS,22,Music Theory,0,0,0,1,6,0,1,5,3,8
0020,ADAMS 12 FIVE STAR SCHOOLS,23,Physics B,1,6,3,20,41,0,2,48,25,73
0020,ADAMS 12 FIVE STAR SCHOOLS,24,Physics C: Electricity and Magnetism,0,0,0,0,0,0,0,0,0,0
0020,ADAMS 12 FIVE STAR SCHOOLS,25,Physics C: Mechanics,0,11,1,5,43,0,0,39,21,60
0020,ADAMS 12 FIVE STAR SCHOOLS,26,Psychology,0,5,0,27,38,0,1,18,53,71
0020,ADAMS 12 FIVE STAR SCHOOLS,27,Spanish Language,0,0,0,8,1,0,0,2,7,9
0020,ADAMS 12 FIVE STAR SCHOOLS,28,Spanish Literature,0,0,0,0,0,0,0,0,0,0
0020,ADAMS 12 FIVE STAR SCHOOLS,29,Statistics,0,4,2,29,78,0,1,44,70,114
0020,ADAMS 12 FIVE STAR SCHOOLS,30,Studio Art: 2-D Design,0,0,0,1,5,0,0,3,3,6
0020,ADAMS 12 FIVE STAR SCHOOLS,31,Studio Art: 3-D Design,0,0,0,0,1,0,0,0,1,1
0020,ADAMS 12 FIVE STAR SCHOOLS,32,Studio Art: Drawing,0,1,0,2,5,0,0,1,7,8
0020,ADAMS 12 FIVE STAR SCHOOLS,33,U.S. History,1,21,2,25,120,1,2,71,101,172
0020,ADAMS 12 FIVE STAR SCHOOLS,34,World History,1,22,11,82,160,0,3,111,168,279
0020,ADAMS 12 FIVE STAR SCHOOLS,35,Chinese Language and Culture,0,0,0,0,0,0,0,0,0,0
0020,ADAMS 12 FIVE STAR SCHOOLS,36,Japanese Language and Culture,0,0,0,0,0,0,0,0,0,0
0020,ADAMS 12 FIVE STAR SCHOOLS,TOTAL,DISTRICT TOTALS,8,166,24,336,972,8,20,677,857,1534
0030,ADAMS COUNTY 14,01,Art History,0,0,0,0,0,0,0,0,0,0
0030,ADAMS COUNTY 14,02,Biology,0,0,0,13,3,0,0,7,9,16
0030,ADAMS COUNTY 14,03,Calculus AB,0,0,0,21,4,0,0,11,14,25
0030,ADAMS COUNTY 14,04,Calculus BC,0,1,0,3,0,0,0,0,4,4
0030,ADAMS COUNTY 14,05,Chemistry,0,0,0,8,1,0,0,2,7,9
0030,ADAMS COUNTY 14,06,Computer Science A,0,0,0,4,4,0,0,6,2,8
0030,ADAMS COUNTY 14,07,Computer Science AB,0,0,0,0,0,0,0,0,0,0
0030,ADAMS COUNTY 14,08,Economics: Macro,0,0,0,0,0,0,0,0,0,0
0030,ADAMS COUNTY 14,09,Economics: Micro,0,0,0,0,0,0,0,0,0,0
0030,ADAMS COUNTY 14,10,English Language and Composition,0,1,2,106,17,0,1,54,73,127
0030,ADAMS COUNTY 14,11,English Literature and Composition,0,1,0,33,6,0,0,12,28,40
0030,ADAMS COUNTY 14,12,Environmental Science,0,0,0,8,2,0,0,6,4,10
0030,ADAMS COUNTY 14,13,European History,0,0,0,0,0,0,0,0,0,0
0030,ADAMS COUNTY 14,14,French Language,0,0,0,1,0,0,0,0,1,1
0030,ADAMS COUNTY 14,15,French Literature,0,0,0,0,0,0,0,0,0,0
0030,ADAMS COUNTY 14,16,German Language,0,0,0,0,0,0,0,0,0,0
0030,ADAMS COUNTY 14,17,Government and Politics: Comparative,0,0,0,0,0,0,0,0,0,0
0030,ADAMS COUNTY 14,18,Government and Politics: United States,0,0,0,23,2,0,0,8,17,25
0030,ADAMS COUNTY 14,19,Human Geography,0,0,0,0,0,0,0,0,0,0
0030,ADAMS COUNTY 14,20,Latin Literature,0,0,0,0,0,0,0,0,0,0
0030,ADAMS COUNTY 14,21,Latin: Vergil,0,0,0,0,0,0,0,0,0,0
0030,ADAMS COUNTY 14,22,Music Theory,0,0,0,0,0,0,0,0,0,0
0030,ADAMS COUNTY 14,23,Physics B,0,2,1,19,0,0,1,13,10,23
0030,ADAMS COUNTY 14,24,Physics C: Electricity and Magnetism,0,0,0,0,0,0,0,0,0,0
0030,ADAMS COUNTY 14,25,Physics C: Mechanics,0,0,0,0,0,0,0,0,0,0
0030,ADAMS COUNTY 14,26,Psychology,0,1,0,14,1,0,0,4,12,16
0030,ADAMS COUNTY 14,27,Spanish Language,0,0,0,28,0,0,0,12,16,28
0030,ADAMS COUNTY 14,28,Spanish Literature,0,0,0,22,0,0,0,10,12,22
0030,ADAMS COUNTY 14,29,Statistics,0,0,0,6,0,0,0,1,5,6
0030,ADAMS COUNTY 14,30,Studio Art: 2-D Design,0,1,1,2,1,0,0,3,2,5
0030,ADAMS COUNTY 14,31,Studio Art: 3-D Design,0,0,0,0,0,0,0,0,0,0
0030,ADAMS COUNTY 14,32,Studio Art: Drawing,0,0,0,0,0,0,0,0,0,0
