COUNTY CODE,COUNTY NAME,DISTRICT CODE,DISTRICT NAME,K-12 COUNT,FREE LUNCH,REDUCED LUNCH,NOT ELIGIBLE,FREE AND REDUCED,% FREE,% REDUCED,% FREE AND REDUCED
18,DOUGLAS,TOTAL,,"65,033","5,916","2,038","56,957","7,954",9.10%,3.10%,12.20%
19,EAGLE,0910,EAGLE COUNTY RE 50,"6,559","2,069",630,"3,851","2,699",31.50%,9.60%,41.10%
19,EAGLE,TOTAL,,"6,559","2,069",630,"3,851","2,699",31.50%,9.60%,41.10%
20,ELBERT,0920,ELIZABETH C-1,"2,352",305,118,"1,927",423,13.00%,5.00%,18.00%
20,ELBERT,0930,KIOWA C-2,266,71,27,165,98,26.70%,10.20%,36.80%
20,ELBERT,0940,BIG SANDY 100J,276,89,31,156,120,32.20%,11.20%,43.50%
20,ELBERT,0950,ELBERT 200,197,47,16,133,63,23.90%,8.10%,32.00%
20,ELBERT,0960,AGATE 300,3,2,1,0,3,66.70%,33.30%,100.00%
20,ELBERT,TOTAL,,"3,094",514,193,"2,381",707,16.60%,6.20%,22.90%
21,EL PASO,0970,CALHAN RJ-1,436,152,41,243,193,34.90%,9.40%,44.30%
21,EL PASO,0980,HARRISON 2,"11,777","7,087","1,040","3,612","8,127",60.20%,8.80%,69.00%
21,EL PASO,0990,WIDEFIELD 3,"9,008","3,279","1,248","4,461","4,527",36.40%,13.90%,50.30%
21,EL PASO,1000,FOUNTAIN 8,"7,680","2,657","1,241","3,770","3,898",34.60%,16.20%,50.80%
21,EL PASO,1010,COLORADO SPRINGS 11,"27,281","13,455","2,626","10,937","16,081",49.30%,9.60%,58.90%
21,EL PASO,1020,CHEYENNE MOUNTAIN 12,"4,965",519,179,"4,256",698,10.50%,3.60%,14.10%
21,EL PASO,1030,MANITOU SPRINGS 14,"1,451",324,51,"1,076",375,22.30%,3.50%,25.80%
21,EL PASO,1040,ACADEMY 20,"24,707","2,373",971,"21,327","3,344",9.60%,3.90%,13.50%
21,EL PASO,1050,ELLICOTT 22,960,532,137,288,669,55.40%,14.30%,69.70%
21,EL PASO,1060,PEYTON 23 JT,639,136,55,448,191,21.30%,8.60%,29.90%
21,EL PASO,1070,HANOVER 28,241,149,38,53,187,61.80%,15.80%,77.60%
21,EL PASO,1080,LEWIS-PALMER 38,"6,106",500,200,"5,383",700,8.20%,3.30%,11.50%
21,EL PASO,1110,FALCON 49,"20,269","5,524","1,552","13,155","7,076",27.30%,7.70%,34.90%
21,EL PASO,1120,EDISON 54 JT,207,32,44,130,76,15.50%,21.30%,36.70%
21,EL PASO,1130,MIAMI/YODER 60 JT,264,143,29,92,172,54.20%,11.00%,65.20%
21,EL PASO,TOTAL,,"115,991","36,862","9,452","69,231","46,314",31.80%,8.10%,39.90%
22,FREMONT,1140,CANON CITY RE-1,"3,672","1,618",472,"1,579","2,090",44.10%,12.90%,56.90%
22,FREMONT,1150,FREMONT RE-2,"1,306",585,150,569,735,44.80%,11.50%,56.30%
22,FREMONT,1160,COTOPAXI RE-3,189,66,26,97,92,34.90%,13.80%,48.70%
22,FREMONT,TOTAL,,"5,167","2,269",648,"2,245","2,917",43.90%,12.50%,56.50%
23,GARFIELD,1180,ROARING FORK RE-1,"5,407","1,703",476,"3,220","2,179",31.50%,8.80%,40.30%
23,GARFIELD,1195,GARFIELD RE-2,"4,677","1,849",669,"2,157","2,518",39.50%,14.30%,53.80%
23,GARFIELD,1220,GARFIELD 16,"1,037",483,116,437,599,46.60%,11.20%,57.80%
23,GARFIELD,TOTAL,,"11,121","4,035","1,261","5,814","5,296",36.30%,11.30%,47.60%
24,GILPIN,1330,GILPIN COUNTY RE-1,415,100,16,299,116,24.10%,3.90%,28.00%
24,GILPIN,TOTAL,,415,100,16,299,116,24.10%,3.90%,28.00%
25,GRAND,1340,WEST GRAND 1-JT,441,156,59,226,215,35.40%,13.40%,48.80%
25,GRAND,1350,EAST GRAND 2,"1,243",317,106,818,423,25.50%,8.50%,34.00%
25,GRAND,TOTAL,,"1,684",473,165,"1,044",638,28.10%,9.80%,37.90%
26,GUNNISON,1360,GUNNISON WATERSHED RE1J,"1,910",419,88,"1,403",507,21.90%,4.60%,26.50%
26,GUNNISON,TOTAL,,"1,910",419,88,"1,403",507,21.90%,4.60%,26.50%
27,HINSDALE,1380,HINSDALE COUNTY RE 1,95,19,11,65,30,20.00%,11.60%,31.60%
27,HINSDALE,TOTAL,,95,19,11,65,30,20.00%,11.60%,31.60%
28,HUERFANO,1390,HUERFANO RE-1,516,356,39,119,395,69.00%,7.60%,76.60%
28,HUERFANO,1400,LA VETA RE-2,210,105,32,73,137,50.00%,15.20%,65.20%
28,HUERFANO,TOTAL,,726,461,71,192,532,63.50%,9.80%,73.30%
29,JACKSON,1410,NORTH PARK R-1 ,176,67,26,82,93,38.10%,14.80%,52.80%
29,JACKSON,TOTAL,,176,67,26,82,93,38.10%,14.80%,52.80%
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,"83,760","20,676","5,507","57,308","26,183",24.70%,6.60%,31.30%
30,JEFFERSON,TOTAL,,"83,760","20,676","5,507","57,308","26,183",24.70%,6.60%,31.30%
31,KIOWA,1430,EADS RE-1,153,48,14,91,62,31.40%,9.20%,40.50%
31,KIOWA,1440,PLAINVIEW RE-2,57,21,11,25,32,36.80%,19.30%,56.10%
31,KIOWA,TOTAL,,210,69,25,116,94,32.90%,11.90%,44.80%
32,KIT CARSON,1450,ARRIBA-FLAGLER C-20,161,55,27,79,82,34.20%,16.80%,50.90%
32,KIT CARSON,1460,HI-PLAINS R-23,109,48,21,40,69,44.00%,19.30%,63.30%
32,KIT CARSON,1480,STRATTON R-4,182,59,42,81,101,32.40%,23.10%,55.50%
32,KIT CARSON,1490,BETHUNE R-5,105,55,21,29,76,52.40%,20.00%,72.40%
32,KIT CARSON,1500,BURLINGTON RE-6J,711,332,115,264,447,46.70%,16.20%,62.90%
32,KIT CARSON,TOTAL,,"1,268",549,226,493,775,43.30%,17.80%,61.10%
33,LAKE,1510,LAKE COUNTY R-1,968,556,164,243,720,57.40%,16.90%,74.40%
33,LAKE,TOTAL,,968,556,164,243,720,57.40%,16.90%,74.40%
34,LA PLATA,1520,DURANGO 9-R,"4,537","1,076",308,"3,119","1,384",23.70%,6.80%,30.50%
34,LA PLATA,1530,BAYFIELD 10 JT-R,"1,318",255,130,932,385,19.30%,9.90%,29.20%
34,LA PLATA,1540,IGNACIO 11 JT,857,353,132,371,485,41.20%,15.40%,56.60%
34,LA PLATA,TOTAL,,"6,712","1,684",570,"4,422","2,254",25.10%,8.50%,33.60%
35,LARIMER,1550,POUDRE R-1,"28,704","7,100","1,847","19,684","8,947",24.70%,6.40%,31.20%
35,LARIMER,1560,THOMPSON R2-J,"15,484","4,297","1,282","9,848","5,579",27.80%,8.30%,36.00%
35,LARIMER,1570,ESTES PARK R-3,"1,106",339,60,701,399,30.70%,5.40%,36.10%
35,LARIMER,TOTAL,,"45,294","11,736","3,189","30,233","14,925",25.90%,7.00%,33.00%
36,LAS ANIMAS,1580,TRINIDAD 1,"1,040",675,94,268,769,64.90%,9.00%,73.90%
36,LAS ANIMAS,1590,PRIMERO REORGANIZED 2,191,83,14,94,97,43.50%,7.30%,50.80%
36,LAS ANIMAS,1600,HOEHNE REORGANIZED 3,359,108,45,204,153,30.10%,12.50%,42.60%
36,LAS ANIMAS,1620,AGUILAR REORGANIZED 6,109,73,14,22,87,67.00%,12.80%,79.80%
36,LAS ANIMAS,1750,BRANSON REORGANIZED 82,463,83,34,334,117,17.90%,7.30%,25.30%
36,LAS ANIMAS,1760,KIM REORGANIZED 88,45,10,17,17,27,22.20%,37.80%,60.00%
36,LAS ANIMAS,TOTAL,,"2,207","1,032",218,939,"1,250",46.80%,9.90%,56.60%
37,LINCOLN,1780,GENOA-HUGO C113,160,46,31,83,77,28.80%,19.40%,48.10%
37,LINCOLN,1790,LIMON RE-4J,491,141,43,307,184,28.70%,8.80%,37.50%
37,LINCOLN,1810,KARVAL RE-23,43,11,7,25,18,25.60%,16.30%,41.90%
37,LINCOLN,TOTAL,,694,198,81,415,279,28.50%,11.70%,40.20%
38,LOGAN,1828,VALLEY RE-1,"2,120",838,270,"1,004","1,108",39.50%,12.70%,52.30%
38,LOGAN,1850,FRENCHMAN RE-3,191,54,26,111,80,28.30%,13.60%,41.90%
38,LOGAN,1860,BUFFALO RE-4J,309,56,41,212,97,18.10%,13.30%,31.40%
38,LOGAN,1870,PLATEAU RE-5,158,30,20,108,50,19.00%,12.70%,31.60%
38,LOGAN,TOTAL,,"2,778",978,357,"1,435","1,335",35.20%,12.90%,48.10%
39,MESA,1980,DE BEQUE 49JT,136,46,12,78,58,33.80%,8.80%,42.60%
39,MESA,1990,PLATEAU VALLEY 50,431,99,23,309,122,23.00%,5.30%,28.30%
39,MESA,2000,MESA COUNTY VALLEY 51,"21,207","8,954","1,489","10,726","10,443",42.20%,7.00%,49.20%
39,MESA,TOTAL,,"21,774","9,099","1,524","11,113","10,623",41.80%,7.00%,48.80%
40,MINERAL,2010,CREEDE SCHOOL DISTRICT,84,23,30,31,53,27.40%,35.70%,63.10%
40,MINERAL,TOTAL,,84,23,30,31,53,27.40%,35.70%,63.10%
41,MOFFAT,2020,MOFFAT COUNTY RE:NO 1,"2,053",692,170,"1,174",862,33.70%,8.30%,42.00%
41,MOFFAT,TOTAL,,"2,053",692,170,"1,174",862,33.70%,8.30%,42.00%
42,MONTEZUMA,2035,MONTEZUMA-CORTEZ RE-1,"2,677","1,298",236,"1,131","1,534",48.50%,8.80%,57.30%
42,MONTEZUMA,2055,DOLORES RE-4A,725,262,64,399,326,36.10%,8.80%,45.00%
42,MONTEZUMA,2070,MANCOS RE-6,458,220,48,190,268,48.00%,10.50%,58.50%
42,MONTEZUMA,TOTAL,,"3,860","1,780",348,"1,720","2,128",46.10%,9.00%,55.10%
43,MONTROSE,2180,MONTROSE COUNTY RE-1J,"5,888","2,495",475,"2,910","2,970",42.40%,8.10%,50.40%
43,MONTROSE,2190,WEST END RE-2,254,132,30,92,162,52.00%,11.80%,63.80%
43,MONTROSE,TOTAL,,"6,142","2,627",505,"3,002","3,132",42.80%,8.20%,51.00%
44,MORGAN,2395,BRUSH RE-2(J),"1,404",613,231,560,844,43.70%,16.50%,60.10%
44,MORGAN,2405,FORT MORGAN RE-3,"2,937","1,712",328,897,"2,040",58.30%,11.20%,69.50%
44,MORGAN,2505,WELDON VALLEY RE-20(J),216,73,4,139,77,33.80%,1.90%,35.60%
44,MORGAN,2515,WIGGINS RE-50(J),513,154,81,278,235,30.00%,15.80%,45.80%
44,MORGAN,TOTAL,,"5,070","2,552",644,"1,874","3,196",50.30%,12.70%,63.00%
45,OTERO,2520,EAST OTERO R-1,"1,290",871,118,301,989,67.50%,9.10%,76.70%
45,OTERO,2530,ROCKY FORD R-2,790,549,80,160,629,69.50%,10.10%,79.60%
45,OTERO,2535,MANZANOLA 3J,131,77,14,40,91,58.80%,10.70%,69.50%
45,OTERO,2540,FOWLER R-4J,387,171,52,164,223,44.20%,13.40%,57.60%
45,OTERO,2560,CHERAW 31,198,82,49,67,131,41.40%,24.70%,66.20%
45,OTERO,2570,SWINK 33,381,126,43,212,169,33.10%,11.30%,44.40%
45,OTERO,TOTAL,,"3,177","1,876",356,944,"2,232",59.00%,11.20%,70.30%
46,OURAY,2580,OURAY R-1,167,37,20,110,57,22.20%,12.00%,34.10%
46,OURAY,2590,RIDGWAY R-2,328,63,23,240,86,19.20%,7.00%,26.20%
46,OURAY,TOTAL,,495,100,43,350,143,20.20%,8.70%,28.90%
47,PARK,2600,PLATTE CANYON 1,977,262,38,677,300,26.80%,3.90%,30.70%
47,PARK,2610,PARK COUNTY RE-2,544,199,61,280,260,36.60%,11.20%,47.80%
47,PARK,TOTAL,,"1,521",461,99,957,560,30.30%,6.50%,36.80%
48,PHILLIPS,2620,HOLYOKE RE-1J,594,219,53,322,272,36.90%,8.90%,45.80%
48,PHILLIPS,2630,HAXTUN RE-2J,293,60,46,187,106,20.50%,15.70%,36.20%
48,PHILLIPS,TOTAL,,887,279,99,509,378,31.50%,11.20%,42.60%
49,PITKIN,2640,ASPEN 1,"1,671",39,33,"1,598",72,2.30%,2.00%,4.30%
49,PITKIN,TOTAL,,"1,671",39,33,"1,598",72,2.30%,2.00%,4.30%
50,PROWERS,2650,GRANADA RE-1,195,91,25,79,116,46.70%,12.80%,59.50%
